generated_utc,scope,scope_value,family_id,portfolio,regime,status,fitness_score,closed_trades,expectancy_r,profit_factor,win_rate,max_drawdown_r,liquidations,positive_folds,total_folds,first_entry_utc,last_entry_utc
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_ETH_BOLLINGER_1H,shadow-eth-bollinger-1h,SHADOW_ETH_BOLLINGER_1H,BULL_TREND,INSUFFICIENT,15.77,5,-0.48040020219450535,0.42134056009388743,0.4,4.150975246100281,0,1,4,2026-07-19T03:08:30+00:00,2026-08-21T22:06:13+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_MASTER_ADAPTIVE_GB20_LOSS_CAP_V1,shadow-master-adaptive-gb20-loss-cap-v1,SHADOW_MASTER_ADAPTIVE_GB20_LOSS_CAP_V1,BULL_TREND,OBSERVING,15.71,21,-0.23422632197914053,0.7255583564569617,0.23809523809523808,9.653412871132035,0,2,4,2026-07-26T06:08:38+00:00,2026-08-27T16:06:02+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_BOTTOM5_SHORT_MFE_TRAIL_V1,shadow-scanner-bottom5-short-mfe-trail-v1,SHADOW_SCANNER_BOTTOM5_SHORT_MFE_TRAIL_V1,BULL_TREND,INSUFFICIENT,15.51,4,-0.5062204979336608,0.1534272919973905,0.25,2.3918583396246245,0,1,4,2026-07-26T07:23:37+00:00,2026-08-12T10:24:07+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_SHORT_15X_10_RSI80,shadow-rsi-short-15x-10-rsi80,SHADOW_RSI_SHORT_15X_10_RSI80,BULL_TREND,OBSERVING,15.46,12,-0.3905240303306251,0.2725106816330664,0.3333333333333333,5.115771785042222,0,1,4,2026-07-26T04:23:37+00:00,2026-08-27T09:07:01+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_SHORT_15X_50_RSI80,shadow-rsi-short-15x-50-rsi80,SHADOW_RSI_SHORT_15X_50_RSI80,BULL_TREND,OBSERVING,15.46,12,-0.3905240303306251,0.2725106816330664,0.3333333333333333,5.115771785042222,0,1,4,2026-07-26T04:23:37+00:00,2026-08-27T09:07:01+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_COMBO_ADAPTIVE_REGIME_V1,shadow-combo-adaptive-regime-v1,SHADOW_COMBO_ADAPTIVE_REGIME_V1,BULL_TREND,OBSERVING,14.28,18,-0.28411546416581746,0.4937985851201067,0.3333333333333333,5.8325468432897765,0,0,4,2026-07-21T06:08:33+00:00,2026-08-28T00:05:46+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SCANNER_TOP5_BTC_BTC_2_3_V1,shadow-scanner-top5-btc-btc-2-3-v1,SHADOW_SCANNER_TOP5_BTC_BTC_2_3_V1,BULL_TREND,OBSERVING,14.24,18,-0.311494724120541,0.5536285461968203,0.3333333333333333,7.5300519905836385,0,1,4,2026-07-27T00:08:36+00:00,2026-08-27T10:06:33+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,EVO_CAND_SHADOW_1H_FAST_V3_LONG_NOHIGH_CAP75_V_TP_R200_051501d0,momentum_breakout_v3_filtered,EVO_CAND_SHADOW_1H_FAST_V3_LONG_NOHIGH_CAP75_V_TP_R200_051501d0,BULL_TREND,OBSERVING,14.08,17,-0.24012556114559913,0.5050578577204781,0.35294117647058826,6.029623411232488,0,0,4,2026-07-26T04:08:36+00:00,2026-07-27T11:08:37+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_BTC_ADAPTIVE_4H,shadow-btc-adaptive-4h,SHADOW_BTC_ADAPTIVE_4H,BULL_TREND,INSUFFICIENT,13.89,1,-1.0075324198957611,0.0,0.0,1.0075324198957611,0,0,1,2026-07-21T08:08:34+00:00,2026-07-21T08:08:34+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_BTC_EMA_1H,shadow-btc-ema-1h,SHADOW_BTC_EMA_1H,BULL_TREND,INSUFFICIENT,13.8,1,-1.0644695644444389,0.0,0.0,1.0644695644444389,0,0,1,2026-07-21T14:23:34+00:00,2026-07-21T14:23:34+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,EVO_CAND_SHADOW_1H_FAST_V3_CAP75_V1_TP_R250_3b03ece1,momentum_breakout_v3_filtered,EVO_CAND_SHADOW_1H_FAST_V3_CAP75_V1_TP_R250_3b03ece1,BULL_TREND,INSUFFICIENT,13.78,3,-0.5372200512877302,0.0,0.0,1.6116601538631907,0,0,3,2026-07-27T08:08:38+00:00,2026-07-27T11:08:37+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_GLOBAL_PURE,shadow-global-pure,SHADOW_GLOBAL_PURE,BULL_TREND,INSUFFICIENT,13.73,1,-1.111692619999999,0.0,0.0,1.111692619999999,0,0,1,2026-07-14T23:13:21+00:00,2026-07-14T23:13:21+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_1H_BALANCED,shadow-1h-balanced,SHADOW_1H_BALANCED,BULL_TREND,OBSERVING,13.7,28,-0.4628467350981113,0.4338294448278813,0.2857142857142857,18.38518748503192,0,1,4,2026-07-14T16:00:54+00:00,2026-08-18T01:06:00+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_SOL_BOLLINGER_1H,shadow-sol-bollinger-1h,SHADOW_SOL_BOLLINGER_1H,BULL_TREND,INSUFFICIENT,13.65,4,-0.8112035619282738,0.3087700870739757,0.25,3.6300813657958715,0,1,4,2026-08-19T21:06:51+00:00,2026-08-27T00:06:01+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_1H_FAST_SCORE_6_75_NO_TREND_UP_V1,shadow-1h-fast-score-6-75-no-trend-up-v1,SHADOW_1H_FAST_SCORE_6_75_NO_TREND_UP_V1,BULL_TREND,OBSERVING,13.64,12,-0.407002486580327,0.3691115004057476,0.3333333333333333,6.331918650721216,0,1,4,2026-07-26T05:08:37+00:00,2026-08-24T05:05:47+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_LONG_15X_10_RSI15,shadow-rsi-long-15x-10-rsi15,SHADOW_RSI_LONG_15X_10_RSI15,BULL_TREND,INSUFFICIENT,13.6,1,-1.1985067581918465,0.0,0.0,1.1985067581918465,0,0,1,2026-08-06T02:53:53+00:00,2026-08-06T02:53:53+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_LONG_15X_10_RSI20,shadow-rsi-long-15x-10-rsi20,SHADOW_RSI_LONG_15X_10_RSI20,BULL_TREND,INSUFFICIENT,13.6,1,-1.1985067581918465,0.0,0.0,1.1985067581918465,0,0,1,2026-08-06T02:53:53+00:00,2026-08-06T02:53:53+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_LONG_15X_50_RSI15,shadow-rsi-long-15x-50-rsi15,SHADOW_RSI_LONG_15X_50_RSI15,BULL_TREND,INSUFFICIENT,13.6,1,-1.1985067581918467,0.0,0.0,1.1985067581918467,0,0,1,2026-08-06T02:53:53+00:00,2026-08-06T02:53:53+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_LONG_15X_50_RSI20,shadow-rsi-long-15x-50-rsi20,SHADOW_RSI_LONG_15X_50_RSI20,BULL_TREND,INSUFFICIENT,13.6,1,-1.1985067581918467,0.0,0.0,1.1985067581918467,0,0,1,2026-08-06T02:53:53+00:00,2026-08-06T02:53:53+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_LONG_5X_RSI15,shadow-rsi-long-5x-rsi15,SHADOW_RSI_LONG_5X_RSI15,BULL_TREND,INSUFFICIENT,13.6,1,-1.1985067581918465,0.0,0.0,1.1985067581918465,0,0,1,2026-08-06T02:53:53+00:00,2026-08-06T02:53:53+00:00
2026-08-28T07:14:24+00:00,PORTFOLIO,SHADOW_RSI_LONG_5X_RSI20,shadow-rsi-long-5x-rsi20,SHADOW_RSI_LONG_5X_RSI20,BULL_TREND,INSUFFICIENT,13.6,1,-1.1985067581918465,0.0,0.0,1.1985067581918465,0,0,1,2026-08-06T02:53:53+00:00,2026-08-06T02:53:53+00:00
