forecast_date,target_date_30d,generated_at_utc,asset,asset_name,current_price,direction,positive_rate,negative_rate,signal_strength,return_p10_price,return_p10_pct,return_p25_price,return_p25_pct,return_p50_price,return_p50_pct,return_p75_price,return_p75_pct,return_p90_price,return_p90_pct,drawdown_p10_price,drawdown_p10_pct,drawdown_p25_price,drawdown_p25_pct,drawdown_p50_price,drawdown_p50_pct,drawdown_p75_price,drawdown_p75_pct,drawdown_p90_price,drawdown_p90_pct,max_gain_p10_price,max_gain_p10_pct,max_gain_p25_price,max_gain_p25_pct,max_gain_p50_price,max_gain_p50_pct,max_gain_p75_price,max_gain_p75_pct,max_gain_p90_price,max_gain_p90_pct
2026-07-18,2026-08-17,2026-07-18 05:12:23 UTC,DOGE,Dogecoin,0.07,DISCESA,30.0,70.0,forte,0.05,-29.23,0.06,-23.97,0.06,-14.61,0.07,2.55,0.09,18.77,0.04,-40.41,0.05,-32.67,0.06,-23.99,,,,,,,,,0.07,2.22,0.08,16.45,0.1,37.74
2026-07-18,2026-08-17,2026-07-18 05:12:23 UTC,SOL,Solana,74.93,INCERTO,47.5,52.5,molto debole / quasi pari,57.58,-23.15,65.39,-12.73,74.26,-0.89,82.76,10.45,89.46,19.4,54.33,-27.49,60.91,-18.71,67.16,-10.37,,,,,,,,,80.8,7.84,86.64,15.62,101.63,35.63
2026-07-19,2026-08-18,2026-07-19 05:12:23 UTC,BTC,Bitcoin,64723.48,INCERTO,57.5,42.5,debole,45735.72,-29.34,55845.26,-13.72,67925.63,4.95,74424.67,14.99,83819.7,29.5,44086.61,-31.88,52209.73,-19.33,58943.93,-8.93,,,,,,,,,72608.65,12.18,78699.57,21.59,86378.9,33.46
2026-07-19,2026-08-18,2026-07-19 05:12:23 UTC,DOGE,Dogecoin,0.07,DISCESA,30.0,70.0,forte,0.05,-32.04,0.06,-22.12,0.06,-14.07,0.07,2.55,0.09,21.91,0.04,-40.44,0.05,-32.78,0.06,-22.48,,,,,,,,,0.08,7.23,0.09,17.5,0.1,32.74
2026-07-19,2026-08-18,2026-07-19 05:12:23 UTC,SOL,Solana,76.0,INCERTO,47.5,52.5,molto debole / quasi pari,58.01,-23.68,66.04,-13.1,75.3,-0.93,84.74,11.5,89.24,17.42,55.0,-27.63,61.16,-19.53,67.63,-11.01,,,,,,,,,82.2,8.15,91.07,19.83,96.8,27.37
2026-07-20,2026-08-19,2026-07-20 05:12:23 UTC,BTC,Bitcoin,64149.77,SALITA,60.0,40.0,debole,45330.31,-29.34,55350.25,-13.72,68291.17,6.46,75255.37,17.31,81147.32,26.5,43695.82,-31.88,51746.94,-19.33,56818.25,-11.43,,,,,,,,,72493.21,13.01,78512.9,22.39,84815.08,32.21
2026-07-20,2026-08-19,2026-07-20 05:12:23 UTC,DOGE,Dogecoin,0.07,DISCESA,30.0,70.0,forte,0.05,-32.04,0.06,-22.12,0.06,-13.34,0.08,6.29,0.09,21.91,0.04,-40.44,0.05,-32.67,0.06,-22.47,,,,,,,,,0.08,8.73,0.08,17.35,0.09,29.15
2026-07-20,2026-08-19,2026-07-20 05:12:23 UTC,SOL,Solana,75.92,INCERTO,50.0,50.0,molto debole / quasi pari,58.34,-23.15,67.0,-11.76,75.97,0.06,84.77,11.66,89.14,17.42,58.14,-23.41,63.12,-16.87,68.21,-10.16,,,,,,,,,83.02,9.35,89.12,17.39,97.14,27.95
2026-07-21,2026-08-20,2026-07-21 05:12:23 UTC,BTC,Bitcoin,65471.66,SALITA,60.0,40.0,debole,47826.22,-26.95,58392.28,-10.81,68968.4,5.34,80082.47,22.32,83516.8,27.56,46260.81,-29.34,54626.54,-16.56,58161.65,-11.17,,,,,,,,,73422.14,12.14,80559.93,23.05,86562.81,32.21
2026-07-21,2026-08-20,2026-07-21 05:12:23 UTC,DOGE,Dogecoin,0.07,DISCESA,32.5,67.5,medio,0.05,-29.07,0.06,-21.94,0.06,-12.28,0.08,9.88,0.09,26.56,0.05,-37.07,0.05,-30.24,0.06,-20.97,,,,,,,,,0.08,11.92,0.09,23.4,0.1,31.64
2026-07-21,2026-08-20,2026-07-21 05:12:23 UTC,SOL,Solana,78.18,INCERTO,52.5,47.5,molto debole / quasi pari,60.08,-23.15,68.09,-12.91,78.73,0.7,87.79,12.29,91.8,17.42,59.88,-23.41,64.58,-17.4,70.65,-9.63,,,,,,,,,85.76,9.69,93.68,19.83,99.86,27.74
2026-07-22,2026-08-21,2026-07-22 05:12:23 UTC,BTC,Bitcoin,66220.37,SALITA,60.0,40.0,debole,50921.48,-23.1,57290.99,-13.48,72439.47,9.39,81658.2,23.31,85674.73,29.38,50463.46,-23.79,55924.59,-15.55,59256.86,-10.52,,,,,,,,,77162.24,16.52,83035.67,25.39,86485.0,30.6
2026-07-22,2026-08-21,2026-07-22 05:12:23 UTC,DOGE,Dogecoin,0.07,DISCESA,37.5,62.5,medio,0.05,-30.46,0.06,-21.94,0.07,-7.77,0.08,9.88,0.09,25.38,0.05,-37.18,0.05,-30.59,0.06,-20.48,,,,,,,,,0.08,14.24,0.09,21.66,0.1,30.01
2026-07-22,2026-08-21,2026-07-22 05:12:23 UTC,SOL,Solana,77.84,INCERTO,47.5,52.5,molto debole / quasi pari,59.49,-23.57,69.95,-10.14,77.12,-0.93,84.72,8.84,91.65,17.75,58.31,-25.09,63.57,-18.33,70.35,-9.63,,,,,,,,,84.73,8.85,90.8,16.65,99.11,27.33
2026-07-23,2026-08-22,2026-07-23 07:35:30 UTC,BTC,Bitcoin,65399.99,SALITA,62.5,37.5,medio,47772.28,-26.95,55295.48,-15.45,71966.75,10.04,80646.57,23.31,84705.1,29.52,46576.08,-28.78,52125.3,-20.3,57984.06,-11.34,,,,,,,,,74464.18,13.86,83140.88,27.13,87018.18,33.06
2026-07-23,2026-08-22,2026-07-23 07:35:30 UTC,DOGE,Dogecoin,0.07,INCERTO,47.5,52.5,molto debole / quasi pari,0.05,-28.49,0.06,-14.05,0.07,-0.99,0.08,12.21,0.09,27.88,0.05,-35.19,0.06,-23.17,0.06,-14.61,,,,,,,,,0.08,13.74,0.09,21.46,0.1,33.95
2026-07-23,2026-08-22,2026-07-23 07:35:30 UTC,SOL,Solana,77.11,SALITA,62.5,37.5,medio,64.58,-16.25,71.73,-6.97,80.03,3.79,89.31,15.82,100.25,30.0,59.83,-22.41,68.03,-11.77,70.43,-8.66,,,,,,,,,85.06,10.31,94.61,22.7,111.41,44.49
