target_asset,similar_asset,end_date,similarity,return_30d,drawdown_30d,max_gain_30d,spike_before_low_pct,spike_day,low_day,post_peak_low_pct,post_peak_low_day,dump_from_peak_pct,sequence
BTC,XLM-USD,2020-12-11,90.74521617194236,90.996832295798,-16.344094012745337,125.42202379415227,26.604713529659097,5,12,-16.344094012745337,12,-33.92354545499842,SPIKE PRIMA DEL DUMP
BTC,INJ-USD,2023-11-13,88.99477048355755,89.18730984922156,-7.655199822436154,89.18730984922156,9.93381683156278,2,8,-7.655199822436154,8,-15.99964156702417,ECCEZIONE POSITIVA
BTC,BNB-USD,2019-02-25,88.98964526300949,70.50723743127246,-3.2556086192204736,75.62827407259117,0.0,0,1,-3.2556086192204736,1,-3.2556086192204736,DISCESA QUASI IMMEDIATA
BTC,THETA-USD,2023-11-25,88.1630050299131,39.603049117831524,-6.14701263073536,39.603049117831524,0.0,0,2,-6.14701263073536,2,-6.14701263073536,DISCESA QUASI IMMEDIATA
BTC,1INCH-USD,2023-11-23,87.81490784917054,17.362529679458127,-4.972746475290746,17.362529679458127,3.335385615320696,2,7,-4.972746475290746,7,-8.039968149477406,ECCEZIONE POSITIVA
BTC,ADA-USD,2023-11-21,87.49916012973964,77.50807318804087,0.0,85.49538544383006,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,BCH-USD,2019-04-21,87.3628469384077,43.74486326933032,-18.54438172069276,45.10221562171264,0.8026616078635529,1,8,-18.54438172069276,8,-19.192988577840353,ECCEZIONE POSITIVA
BTC,ETC-USD,2023-11-21,87.2264903909498,13.759346814166108,0.0,22.612655076263355,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,EGLD-USD,2023-11-21,87.12766940308055,55.31641044180253,0.0,61.59761566070121,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,XRP-USD,2023-11-21,86.61756799998012,7.4850778392152595,0.0,15.965911097930952,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,BTC-USD,2019-04-21,86.56095699046232,49.84063997589156,-1.9571928380325176,54.3911886631582,4.851435480551558,2,4,-1.9571928380325176,4,-6.493595712237033,ECCEZIONE POSITIVA
BTC,ADA-USD,2020-12-11,86.28302720945675,118.64266705876219,-2.1907695700826513,138.77761943881902,20.179415754887863,5,12,-2.1907695700826513,12,-18.613990744135144,ECCEZIONE POSITIVA
BTC,MANA-USD,2023-11-21,86.28190075182876,37.8193645943264,0.0,41.3282246759179,0.0,0,0,0.0,0,0.0,DISCESA QUASI IMMEDIATA
BTC,ZEC-USD,2019-04-21,86.276245173833,9.64170910616351,-17.25446869072541,14.53246674588755,1.0926135719823593,1,18,-17.25446869072541,18,-18.148786161952223,ECCEZIONE POSITIVA
