snapshot_date,asset,target_ticker,current_price,price_snapshot_generated_at_utc,match_snapshot_generated_at_utc,status,reason,selected_regime_group,full_regime_matches,same_asset_regime_matches,same_btc_regime_matches,selected_sample_size,usable_paths,minimum_required,fallback_level,selection_reason,chart_filename
2026-09-23,BTC,BTC-USD,86750.578125,2026-09-23T05:30:23Z,2026-09-23 05:30:24,INSUFFICIENT_REGIME_MATCHES,INSUFFICIENT_REGIME_MATCHES,NONE,0,1,0,0,0,5,NONE,INSUFFICIENT_REGIME_MATCHES,
2026-09-23,SOL,SOL-USD,118.94999694824219,2026-09-23T05:30:23Z,2026-09-23 05:30:24,INSUFFICIENT_REGIME_MATCHES,INSUFFICIENT_REGIME_MATCHES,NONE,1,2,1,0,0,5,NONE,INSUFFICIENT_REGIME_MATCHES,
2026-09-23,DOGE,DOGE-USD,0.10209999978542328,2026-09-23T05:30:23Z,2026-09-23 05:30:24,INSUFFICIENT_REGIME_MATCHES,INSUFFICIENT_REGIME_MATCHES,NONE,0,2,0,0,0,5,NONE,INSUFFICIENT_REGIME_MATCHES,
