similar_asset,episode_start_date,episode_end_date,similarity,baseline_date,minus5_hit_date,plus10_anchor_date,days_to_minus5,days_minus5_to_plus10,path_class_60d,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60
BNB-USD,2023-10-13,2024-01-20,100.0,2024-01-20,2024-01-23,2024-02-15,3,23,DIRECT_CONTINUATION,0.0,1.7421418126768229,-0.5082179000485576,-1.4182971177211345,-0.8186153099104532,0.043163806343948785,6.717164104369511,7.696114414285127,5.809881027231478,7.620850914604671,9.540422900339362,13.231362819968817,11.357088310893658,17.21424562193221,12.705533536307323,14.969925572761422,15.865051891206218,16.822226718989764,18.134382342019784,11.262957315237054,20.946964182902338,33.99384195215691,37.60340988047661,38.017169851513756,49.241222097528706,47.36455581285783,51.634993707393264,77.76772314319922,69.99445245717948,78.39963369698646,62.60434766299434,61.00032658921444,56.340631518233764,42.954921740758365,56.94489039301174,55.97162700276792,55.55729920011454,55.58575960900147,60.12898037057723,65.60747142516443,63.55591300269015,61.96619096142841,64.43560462538427,72.72040556254733,69.43840764872628,71.09955602450417,62.497629733177654,55.24800303944777,58.444464863439926,65.04755503750958,63.222234496562216,65.1956386402188,64.66996421972537,65.45899206102573,63.747564776682154,71.99473396400498,70.53153513105381,68.13136251024248,56.26808672750381,59.91010709304283,55.866268427426476
HBAR-USD,2020-11-04,2021-02-11,99.0,2021-02-11,2021-02-14,2021-02-18,3,4,FAILURE,0.0,2.4800943123624464,-4.623696929944021,-1.3291966299491254,-7.642034124207175,-20.288494509049638,-13.582192758431844,-21.343535656842995,-20.946725361189955,-20.468131872302752,-22.63385830192801,-16.127300114854048,-17.229265718169408,-13.802042522266389,8.091801734287118,-0.06434383620108619,-2.851434756678517,2.3319596593512237,16.90752656080996,41.05021885594022,47.64793913444656,79.90588540344794,81.10572515313623,85.0718504506216,145.96281381728446,169.82800459096566,129.32340987972535,142.96927726649966,133.3243939149229,133.1038749432297,114.14054184062326,130.6552933292861,113.16124103898217,118.61812172930901,104.72157107631696,105.95624958736343,133.28418151434147,129.36765750381275,129.62571204465277,153.26768703885213,164.2323881221798,146.85497776282213,136.8407715786823,144.30383754749502,114.78805537884807,123.2532151692042,113.30201440554815,119.58066236995268,100.39279504850107,119.44392422689263,126.7306988717455,121.15787542286193,134.05434986606352,139.24444634885685,174.06560853917216,152.2294160402332,155.7095765742091,135.67780817845914,132.62729906609545,108.8284697403683,94.21736490516174
RUNE-USD,2020-03-28,2020-07-05,98.0,2020-07-05,2020-07-06,2020-07-20,1,14,DIRECT_CONTINUATION,0.0,0.16748093319987056,0.40021029294206034,-1.1584504135779605,13.92104929308664,-1.012342245669351,-7.467632005078939,-20.558517224243968,-8.257277570617926,-6.0777540979701445,-8.93409288455328,-14.430948739156424,-17.47874495665339,-10.92177667620815,-14.757179792155672,-6.039839322010232,4.041912336207232,8.589824059706363,8.82348411529328,23.105720954118357,44.32431204680513,47.56785354392912,42.29796559860086,68.58439500061215,55.676230859104294,77.72053752116919,64.18519517744437,74.21749807905486,61.18145189659747,56.233706590379164,47.648159299673544,67.44490197501413,45.5805409226409,57.909845487870214,50.137925800273784,62.39232042971557,53.65842686918904,58.86288911257598,72.5211054672287,62.50831393922003,74.8878096017896,101.67724686873476,91.73936527651361,85.57072429742159,72.1855785354947,38.54862414900884,51.842506319590974,18.714697958729175,45.40319904537198,33.966897143151556,29.210232557624206,35.60678322154827,34.94726333872731,38.230758278899636,48.39207335212823,31.289008205081046,19.59636607591486,7.904831917992405,10.079890266528025,-4.1250212591982365,-2.7065189150080826
ETH-USD,2020-05-11,2020-08-18,97.0,2020-08-18,2020-08-21,2020-09-01,3,11,FAILURE,0.0,-7.758361882075892,-19.155142736675966,-18.616582087158573,-29.722517929045335,-25.927919694662947,-26.072302669191483,-29.231577432934685,-26.400039866845248,-22.838188010941884,-21.456013698022847,-18.838370200889365,-23.368924983992812,-20.91660223168612,-23.52211679130494,-23.3181382567096,-18.453481142604765,-19.429201709284595,-19.181882693854934,-22.21961219769375,-28.35453242594039,-27.78497133802843,-32.687345865417285,-26.767803837721218,-26.175065987881176,-25.48230278625876,-25.07345651753511,-25.551199757267717,-24.587371434701698,-24.54953887327672,-25.960698532123484,-27.421122403945176,-27.361763537279238,-26.092108149436953,-25.8032974205473,-28.557909631355148,-28.349798557923066,-26.472122603087488,-23.364632517182503,-22.23747935089969,-21.362423847896473,-18.723465150447126,-20.094489285049665,-20.45225455901877,-20.880343361520957,-23.230785597552007,-22.680127996114642,-20.718547429231393,-20.35759639002902,-22.621229722012558,-17.788826881614984,-13.264579657788678,-14.104380638300695,-13.540308278441259,-14.848307997223909,-17.432820815355033,-15.313819945538764,-18.530719956714535,-18.933329034469402,-19.752972693194117,-18.9626278392253
ADA-USD,2020-09-08,2020-12-16,96.0,2020-12-16,2020-12-21,2020-12-29,5,8,SHALLOW_PULLBACK_THEN_CONTINUATION,0.0,-4.227643373386347,-5.603025393791583,-8.749822036571597,-7.671053484562695,6.677110289558508,16.96362908296183,34.423725727571885,72.71601193184691,56.10624703588145,59.0292672683459,73.27542969444261,58.66395759026817,43.34942525954744,49.353159157152795,63.198620833833495,61.52660208183867,57.433226105521214,83.4079151309082,97.67073400337534,93.2869868488516,92.09476370333907,95.3508353192346,61.42929989885164,81.91596900350095,79.86876147069289,84.15571823248118,78.9544249230066,79.13552112809738,62.92333971365181,80.12166339896345,81.163482245686,88.70288156522209,79.48105709190854,109.21348074133283,121.81417547333618,129.69962254693505,129.51801455159267,179.90360973418854,226.74485581007556,245.141637176692,255.17108217583439,266.1018673520314,384.12708899598226,382.7860434488211,381.66512974503235,371.32603613487316,341.5077713023387,348.0610128422132,353.2331651249373,363.6248025342613,375.6973142178124,382.73818330589825,484.37476446016825,472.69831639617774,471.98590436594304,396.8198904644791,447.2705295354154,461.559899465784,545.8571509660273,589.4423254260189
BCH-USD,2019-01-17,2019-04-26,95.0,2019-04-26,2019-04-29,2019-05-03,3,4,DIRECT_CONTINUATION,0.0,-0.5195456610480154,0.31874299195560063,-1.8255128956348954,-2.1427352864656246,-2.2916083856361125,-3.0125712052721965,-1.8031517270383546,21.62112535731522,20.823767953768723,31.214826985795717,32.74422885005268,37.51150084789134,36.07006471720047,24.516943558410766,22.04812265127012,43.847741584462206,40.884683651434074,42.502124154790536,33.95582507921186,38.505786512184706,39.601494188491635,38.81292710925604,47.72040019721988,51.459350061750996,48.45603785921859,54.98369728122767,44.9159534596071,51.89401285178743,48.27308663072909,51.45089301987842,39.46791042117943,30.59472376405854,35.960664756819426,35.46459467752112,37.00180784892639,34.546745257442964,30.084916199255396,34.66347743146723,32.38664803895573,35.27722745672379,40.58796854563666,43.7773044241369,44.30289082937959,46.17787533695375,47.610000389523854,41.27027060242676,42.283834572762125,41.139488490611754,49.97760758617487,63.87376677686512,62.11444169046685,62.536585558913615,63.751650008446624,65.71568341751146,41.041440963286234,49.07054818503758,51.09295809619072,36.331733091592476,42.193296315375186,39.20423193708127
RUNE-USD,2023-06-01,2023-09-08,94.0,2023-09-08,2023-09-11,2023-09-15,3,4,SHALLOW_PULLBACK_THEN_CONTINUATION,0.0,6.051193932896282,0.8570756621808506,2.577704633171063,4.9352019633478905,-2.007181494246002,-2.9647619945294967,-4.664774923676851,-5.873761321664772,-8.341908098993079,-6.352610400080638,-4.40102816135628,-5.3553273512386586,5.738103321535859,9.609513603907672,5.687661344712369,15.257086748042292,11.217950519669362,9.509224469476818,12.606467737332538,10.797825131778605,-3.218743263345558,-4.258794467475346,-4.856522414945097,-11.312650968058469,-7.635125604248083,-10.579546088880631,-9.853624795620775,-8.894508223735166,-10.38867448524934,-9.161046060839151,-9.97754982329947,-15.668061071069395,-13.71631542047248,-16.441790141766987,-10.18755368897073,-3.9873215918198923,0.4413950772238717,17.848498369084155,20.803285702912255,20.85400874815655,30.210410434410196,32.2920031589476,36.88439969602777,33.51223229376801,50.95234478388648,60.98714105438307,62.19200947318235,53.96963389073341,84.91409045670741,87.06098256552195,83.92207580663695,94.81887624139098,85.9433368678232,83.12025950328281,115.81517097522766,120.63857960831612,160.7343102051499,181.92093401520094,165.39837265306235,169.18476954285074
HBAR-USD,2024-09-04,2024-12-12,93.0,2024-12-12,2024-12-18,2024-12-24,6,6,FAILURE,0.0,-4.661466081986831,-13.50874695008466,-16.13021721206764,-10.593815944038809,-15.171337697556254,-15.439874353593774,-18.348723882161444,-10.614498405447481,-11.288409492434093,-4.696441374964955,-7.006179270536295,-8.371348609775154,-6.317059958201854,-11.947121417377604,-13.390751785720278,-18.25354105581881,-14.279372561914382,-11.385423106333503,-15.461164056419797,-16.36499305796174,-12.72261402385081,-1.5704531915204045,10.525378929973561,14.109979396389338,7.981771518981784,-0.7864410785948905,3.730564989196994,2.535087904539468,-1.1045449482362968,-0.49723102445342615,-0.48749703516643983,0.9649519286848429,-1.646784344011143,-4.402056173818957,-9.014852309370836,-6.073157364438108,-3.833968232935636,-6.7936085212466075,-13.166924411947868,-22.96274356385275,-16.323329046088087,-23.69747848892596,-27.410714439466776,-30.40775898642526,-29.187955991854984,-28.683433538741056,-30.183020750526822,-29.474737080327074,-30.420225562090298,-28.67096243142364,-31.360244339445053,-29.780369842651055,-30.33811655283005,-33.050509887929515,-35.514745407691464,-37.14479889115905,-34.40381536126831,-32.501889925620176,-35.161063535306965,-34.15262133884407
