match_id,target_asset,direction,similar_asset,start_date,end_date,match_end_date_used,similarity,return_30d_report,drawdown_30d_report,max_gain_30d_report,final_return_path,base_price,day,date,close_return_pct,high_return_pct,low_return_pct
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,0,2022-05-30,0.0,0.14547172784258322,-8.91151983897962
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,1,2022-05-31,2.3199262300169776,3.079988659140387,-3.636243197010325
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,2,2022-06-01,-5.605965084246856,7.004370921054415,-6.6277787115673785
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,3,2022-06-02,-5.045050664281003,-4.715498483785574,-7.70351642197451
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,4,2022-06-03,-7.747679532836848,-5.008309518676491,-10.31091688287371
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,5,2022-06-04,-6.960491875637597,-6.397105481901011,-9.05355860569317
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,6,2022-06-05,-7.085377924597303,-6.224641492786887,-8.261439088843769
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,7,2022-06-06,-4.765753891862811,-1.9731185846916688,-7.146869027637337
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,8,2022-06-07,-7.264411682632654,-3.829437919702916,-10.678745371168674
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,9,2022-06-08,-7.9360028353357865,-6.292085882291865,-8.713550399223768
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,10,2022-06-09,-8.456465127068213,-7.278342977355212,-9.010888349406299
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,11,2022-06-10,-14.41038620631383,-8.287065418398488,-15.026880750474314
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,12,2022-06-11,-22.159020682563334,-13.505311389217223,-22.29385506606244
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,13,2022-06-12,-26.440588044483192,-21.510747072176738,-27.305905787096098
1,DOGE,negative,DASH-USD,2022-02-20,2022-05-30,2022-05-30,88.63375575953437,-29.45031583544584,-33.95277127902522,2.3199262300169776,-29.45031583544584,63.11600875854492,14,2022-06-13,-32.95929166891048,-26.455836919357388,-36.717610480153404
