generated_utc,scope,portfolio,scenario_id,scenario_kind,sample_total,sample_full_from_entry,sample_partial,average_actual_comparable_pnl_eur,average_shadow_comparable_pnl_eur,average_delta_vs_actual_eur,median_delta_vs_actual_eur,total_delta_vs_actual_eur,improved_count,worsened_count,equal_count,improved_pct,shadow_win_rate_pct,actual_win_rate_pct,shadow_profit_factor,shadow_expectancy_eur,earlier_better_count,too_early_count,later_better_count,too_late_count,same_time_better_count,same_time_worse_count,ambiguous_count,data_stage
2026-08-25T05:08:29+00:00,ALL,ALL,ATR10_R050,ATR_TRAIL,6835,6828,7,-3.4583520269530723,2.799859105195482,6.2582111321485545,4.440892098500626e-16,42774.87308823537,3383,2131,1321,49.495245062179954,41.41916605705925,42.70665691294806,1.2406123952969894,2.799859105195482,2992,1766,391,365,0,0,130,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,ATR15_R050,ATR_TRAIL,6814,6807,7,-3.5077376919435634,2.660564858557263,6.168302550500827,0.0,42030.81357911263,3203,2210,1401,47.006163780452006,30.261226885823305,42.559436454358675,1.220585529764582,2.660564858557263,2689,1532,514,677,0,1,191,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,ATR15_R100,ATR_TRAIL,8242,8169,73,-2.3707145249841077,1.9191289909870384,4.289843515971146,0.0,35356.89025863419,3517,2400,2325,42.67168163067217,40.45134676049503,42.13783062363504,1.1077259031211786,1.9191289909870384,2637,1216,880,1176,0,8,187,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,ATR20_R050,ATR_TRAIL,6810,6803,7,-3.550087809149268,3.0689212293932804,6.619009038542549,0.0,45075.451552474755,3111,2285,1414,45.68281938325991,25.66813509544787,42.525697503671076,1.2521070267523906,3.0689212293932804,2534,1391,577,894,0,0,198,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,ATR20_R100,ATR_TRAIL,8238,8165,73,-2.4051714569461144,1.7535613257877811,4.158732782733895,0.0,34259.64066416183,3321,2581,2336,40.31318281136198,33.92813789754795,42.109735372663266,1.0976014879017066,1.7535613257877811,2362,994,959,1581,0,6,194,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,ATR30_R100,ATR_TRAIL,8233,8160,73,-2.449229107323584,0.5232125397131907,2.972441647036775,0.0,24472.11208005377,3138,2698,2397,38.114903437386126,24.01311793999757,42.07457791813434,1.0282477245972774,0.5232125397131907,1998,828,1140,1864,0,6,262,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,BE_A020,BREAKEVEN,6494,6487,7,-5.188789013301046,-4.326445723297201,0.8623432900038451,0.0,5600.05732528497,2851,2599,1044,43.90206344317832,1.8478595626732368,40.26793963658762,0.5133940653939695,-4.326445723297201,2694,1890,157,709,0,0,195,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,BE_A030,BREAKEVEN,6420,6413,7,-6.078759244284585,-4.682666354834573,1.3960928894500129,0.0,8962.916350269083,2742,2520,1158,42.71028037383178,2.258566978193146,39.57943925233645,0.5415883379742693,-4.682666354834573,2569,1647,173,873,0,0,217,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,BE_A040,BREAKEVEN,6360,6353,7,-6.667164750693072,-5.230612025027052,1.4365527256660184,0.0,9136.475335235877,2602,2470,1288,40.911949685534594,2.688679245283019,39.07232704402516,0.5776917201469509,-5.230612025027052,2402,1452,200,1018,0,0,239,READY_FOR_BLOCK4_EVALUATION
2026-08-25T05:08:29+00:00,ALL,ALL,BE_A050,BREAKEVEN,6345,6338,7,-6.828749212776588,-6.5783719236025755,0.2503772891740132,0.0,1588.6438998091137,2410,2466,1469,37.982663514578405,2.72655634357762,38.92828999211978,0.5222130767812886,-6.5783719236025755,2198,1326,212,1140,0,0,262,READY_FOR_BLOCK4_EVALUATION
