day_index,sol_date,btc_eq_date,sol_real,btc_scaled,error_pct,abs_error_pct,phase,sol_bottom_price,btc_bottom_price,btc_close
0,2026-06-06,2022-11-21,62.18980407714844,62.18980407714844,0.0,0.0,prima programma,62.18980407714844,15787.2841796875,15787.2841796875
1,2026-06-07,2022-11-22,66.31063079833984,63.775287993995846,3.9754313686246157,3.9754313686246157,prima programma,62.18980407714844,15787.2841796875,16189.76953125
2,2026-06-08,2022-11-23,66.79495239257812,65.43345923838291,2.08072929360974,2.08072929360974,prima programma,62.18980407714844,15787.2841796875,16610.70703125
3,2026-06-09,2022-11-24,64.9620590209961,65.40886980214934,-0.6831042678229649,0.6831042678229649,prima programma,62.18980407714844,15787.2841796875,16604.46484375
4,2026-06-10,2022-11-25,63.160953521728516,65.0833982999625,-2.953817453375185,2.953817453375185,prima programma,62.18980407714844,15787.2841796875,16521.841796875
5,2026-06-11,2022-11-26,66.82200622558594,64.85665384588245,3.030301847476924,3.030301847476924,prima programma,62.18980407714844,15787.2841796875,16464.28125
6,2026-06-12,2022-11-27,66.74927520751953,64.77923097453748,3.041166440763088,3.041166440763088,prima programma,62.18980407714844,15787.2841796875,16444.626953125
7,2026-06-13,2022-11-28,68.87278747558594,63.883824657621346,7.809430391343053,7.809430391343053,prima programma,62.18980407714844,15787.2841796875,16217.322265625
8,2026-06-14,2022-11-29,71.16618347167969,64.78063124906645,9.85719357698489,9.85719357698489,prima programma,62.18980407714844,15787.2841796875,16444.982421875
9,2026-06-15,2022-11-30,73.97933197021484,67.63099776616136,9.386722677082581,9.386722677082581,prima programma,62.18980407714844,15787.2841796875,17168.56640625
10,2026-06-16,2022-12-01,73.41378784179688,66.83750373721455,9.839212622958438,9.839212622958438,prima programma,62.18980407714844,15787.2841796875,16967.1328125
11,2026-06-17,2022-12-02,71.93098449707031,67.31622836216005,6.855339711076747,6.855339711076747,prima programma,62.18980407714844,15787.2841796875,17088.66015625
12,2026-06-18,2022-12-03,69.62649536132812,66.60549671292684,4.535659663979308,4.535659663979308,prima programma,62.18980407714844,15787.2841796875,16908.236328125
13,2026-06-19,2022-12-04,69.7206039428711,67.480991433794,3.3188790820810388,3.3188790820810388,prima programma,62.18980407714844,15787.2841796875,17130.486328125
14,2026-06-20,2022-12-05,73.17265319824219,66.86780967880532,9.42881716886157,9.42881716886157,prima programma,62.18980407714844,15787.2841796875,16974.826171875
15,2026-06-21,2022-12-06,72.41815948486328,67.31955209071228,7.573739331005491,7.573739331005491,prima programma,62.18980407714844,15787.2841796875,17089.50390625
16,2026-06-22,2022-12-07,71.90816497802734,66.36871182884526,8.346482847923099,8.346482847923099,prima programma,62.18980407714844,15787.2841796875,16848.126953125
17,2026-06-23,2022-12-08,69.64368438720703,67.88668635638369,2.588133439890772,2.588133439890772,prima programma,62.18980407714844,15787.2841796875,17233.474609375
18,2026-06-24,2022-12-09,67.98249816894531,67.4914934927611,0.7275060170907066,0.7275060170907066,prima programma,62.18980407714844,15787.2841796875,17133.15234375
19,2026-06-25,2022-12-10,67.57408905029297,67.47405161167802,0.14826060718966527,0.14826060718966527,prima programma,62.18980407714844,15787.2841796875,17128.724609375
20,2026-06-26,2022-12-11,71.83538055419922,67.37741728154855,6.616405692759453,6.616405692759453,prima programma,62.18980407714844,15787.2841796875,17104.193359375
21,2026-06-27,2022-12-12,70.41069793701172,67.78018086020676,3.8809531686412546,3.8809531686412546,prima programma,62.18980407714844,15787.2841796875,17206.4375
22,2026-06-28,2022-12-13,71.31294250488281,70.04477099523666,1.810515605415275,1.810515605415275,prima programma,62.18980407714844,15787.2841796875,17781.318359375
23,2026-06-29,2022-12-14,74.94681549072266,70.18001289452135,6.792250955219514,6.792250955219514,prima programma,62.18980407714844,15787.2841796875,17815.650390625
24,2026-06-30,2022-12-15,73.52330780029297,68.40426475259939,7.483514465374119,7.483514465374119,prima programma,62.18980407714844,15787.2841796875,17364.865234375
25,2026-07-01,2022-12-16,77.38370513916016,65.57833379541619,18.001938537464255,18.001938537464255,prima programma,62.18980407714844,15787.2841796875,16647.484375
26,2026-07-02,2022-12-17,80.64398193359375,66.15979394665297,21.892734428133043,21.892734428133043,prima programma,62.18980407714844,15787.2841796875,16795.091796875
27,2026-07-03,2022-12-18,82.28005981445312,66.0135883594356,24.641095658137303,24.641095658137303,da inizio programma,62.18980407714844,15787.2841796875,16757.9765625
28,2026-07-04,2022-12-19,81.6496353149414,64.75974253837364,26.080852261819288,26.080852261819288,da inizio programma,62.18980407714844,15787.2841796875,16439.6796875
29,2026-07-05,2022-12-20,81.42304229736328,66.59788752881074,22.260698227310982,22.260698227310982,da inizio programma,62.18980407714844,15787.2841796875,16906.3046875
30,2026-07-06,2022-12-21,81.91517639160156,66.2482035873789,23.648902092203183,23.648902092203183,da inizio programma,62.18980407714844,15787.2841796875,16817.53515625
31,2026-07-07,2022-12-22,80.6487045288086,66.29865193950141,21.64456164569053,21.64456164569053,da inizio programma,62.18980407714844,15787.2841796875,16830.341796875
32,2026-07-08,2022-12-23,77.78702545166016,66.16712615338969,17.561438698928878,17.561438698928878,da inizio programma,62.18980407714844,15787.2841796875,16796.953125
33,2026-07-09,2022-12-24,77.45999908447266,66.36725000378757,16.714191231446264,16.714191231446264,da inizio programma,62.18980407714844,15787.2841796875,16847.755859375
