generated_utc,module,asset,field,before,snapshot_price,difference_before_pct,location,status
2026-07-15T07:27:04+00:00,latest_report:CLASSIC_TECHNICAL_CONFIRMATION,SOL,Prezzo corrente,"77,69 $",77.68000030517578,,markdown line 84,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:CLASSIC_TECHNICAL_CONFIRMATION,DOGE,Prezzo corrente,0.07404 $,0.07408999651670456,,markdown line 120,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:CLASSIC_TECHNICAL_VISUAL,BTC,Prezzo,64.596 $,64595.8515625,,markdown table row 1,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:CLASSIC_TECHNICAL_VISUAL,SOL,Prezzo,"77,68 $",77.68000030517578,,markdown table row 2,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:CLASSIC_TECHNICAL_VISUAL,DOGE,Prezzo,0.07409 $,0.07408999651670456,,markdown table row 3,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:FRACTAL_PATH_TRACKER,SOL,Prezzo corrente,"77,68 $",77.68000030517578,,markdown line 19,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:LIQUIDATION_SUMMARY,BTC,Prezzo,"$64,591",64595.8515625,,markdown table row 1,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:LIQUIDATION_SUMMARY,SOL,Prezzo,$77.65,77.68000030517578,,markdown table row 2,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:LIQUIDATION_SUMMARY,DOGE,Prezzo,$0.07406,0.07408999651670456,,markdown table row 3,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:SCANNER_FORECAST_TRACKER,BTC,Prezzo iniziale,"64.595,85 $",64595.8515625,,markdown table row 1,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:SCANNER_FORECAST_TRACKER,SOL,Prezzo iniziale,"77,68 $",77.68000030517578,,markdown table row 2,SYNCHRONISED
2026-07-15T07:27:04+00:00,latest_report:SCANNER_FORECAST_TRACKER,DOGE,Prezzo iniziale,0.07409 $,0.07408999651670456,,markdown table row 3,SYNCHRONISED
