target_ticker,asset,cohort,cohort_status,selected_regime_group,fallback_level,cases_used,similar_asset,start_date,end_date,similarity,regime_alignment,return_30d_pct,tail_side,iqr_outlier,is_tail_or_outlier,p10_full_pct,p50_full_pct,p90_full_pct,p10_without_match_pct,p50_without_match_pct,p90_without_match_pct,p10_impact_pct_points,p50_impact_pct_points,p90_impact_pct_points,mean_impact_pct_points
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,RUNE-USD,2023-06-06,2023-09-13,90.37911070050166,RAW,3.7301352516464936,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.3597716102366775
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,BTC-USD,2022-11-10,2023-02-17,90.33883941855892,RAW,14.137957134547573,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,-0.09290438246998534
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,DASH-USD,2020-09-13,2020-12-21,88.77650232332083,RAW,16.128948781008965,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,-0.04185331461200548
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,QTUM-USD,2023-08-19,2023-11-26,88.69827789750951,RAW,4.5987408106410665,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.33749967282656357
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,THETA-USD,2023-08-28,2023-12-05,88.68608522219205,RAW,9.300253349178211,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.21694806927433063
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,INJ-USD,2023-08-21,2023-11-28,88.63066626862435,RAW,114.93470729160408,UPPER_P90,True,True,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,54.33179105851144,0.6189484102441298,0.12772910689803396,10.570074184154663,2.491627672839158
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,ALGO-USD,2023-08-28,2023-12-05,88.19781886680235,RAW,35.2079438738268,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,0.44735168776794154
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,ATOM-USD,2020-05-01,2020-08-08,88.02173355186,RAW,14.062356594261871,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,-0.09484285786192359
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,AVAX-USD,2021-06-11,2021-09-18,87.55320466117176,RAW,-19.6166231703379,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-18.86717705343674,14.039757292371725,65.23909340726694,-1.3683945271452806,-0.12772910689803396,-0.3372281646008304,-0.9584064415696147
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,ADA-USD,2023-08-29,2023-12-06,87.43999613229312,RAW,22.340566136748507,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,0.11741892527875564
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,XLM-USD,2020-09-18,2020-12-26,87.32983866602969,RAW,78.2960485934709,UPPER_P90,True,True,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,54.33179105851144,0.6189484102441298,0.12772910689803396,10.570074184154663,1.5521748857075366
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,ETH-USD,2022-11-07,2023-02-14,87.17103212643491,RAW,7.729607232160207,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.25722104663376655
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,BTC-USD,2019-01-25,2019-05-04,86.953739417169,RAW,40.77789987482239,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,0.5901710724088574
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,EGLD-USD,2023-08-29,2023-12-06,86.8244578784718,RAW,17.807514700142278,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,0.0011868371606489347
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,TRX-USD,2022-11-07,2023-02-14,86.78544609874096,RAW,-2.0660387636496136,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.5083914567827357
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,ATOM-USD,2023-08-29,2023-12-06,86.7767686274263,RAW,5.847622655212703,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.3054770614272897
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,ETC-USD,2023-08-29,2023-12-06,86.67540940659858,RAW,-0.6712617532945053,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.472627943696704
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,MANA-USD,2023-08-24,2023-12-01,86.50297086119826,RAW,18.434898071844998,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,0.01727359028123132
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,BTC-USD,2023-08-17,2023-11-24,86.34823682297412,RAW,14.039757292371725,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,13.784299078575657,65.23909340726694,0.6189484102441298,0.12772910689803396,-0.3372281646008304,-0.09542232714116139
BTC-USD,BTC,RAW,AVAILABLE,ALL_MATCHES,NONE,40,XTZ-USD,2023-08-29,2023-12-06,86.3453205342003,RAW,6.68116796902658,CENTRAL,False,False,-20.23557158058202,13.912028185473691,64.9018652426661,-20.85451999082615,14.039757292371725,65.23909340726694,0.6189484102441298,-0.12772910689803396,-0.3372281646008304,-0.28410410466283054
