day_from_bottom,sol_date,btc_equivalent_date,sol_price,btc_price,btc_scaled_to_sol,error_pct,phase
0,2026-06-07,2022-11-21,66.31063079833984,15787.2841796875,66.31063079833984,0.0,prima programma
1,2026-06-08,2022-11-22,66.79495239257812,16189.76953125,68.00117220149897,-1.773822082576193,prima programma
2,2026-06-09,2022-11-23,64.9620590209961,16610.70703125,69.76921734681851,-6.890084923736961,prima programma
3,2026-06-10,2022-11-24,63.160953521728516,16604.46484375,69.74299856301913,-9.437571049290538,prima programma
4,2026-06-11,2022-11-25,66.82200622558594,16521.841796875,69.395960637154,-3.709083911996447,prima programma
5,2026-06-12,2022-11-26,66.74927520751953,16464.28125,69.15419162046084,-3.477614814934449,prima programma
6,2026-06-13,2022-11-27,68.87278747558594,16444.626953125,69.07163854744046,-0.2878910592485018,prima programma
7,2026-06-14,2022-11-28,71.16618347167969,16217.322265625,68.11690073186749,4.476543570024227,prima programma
8,2026-06-15,2022-11-29,73.97933197021484,16444.982421875,69.07313160709363,7.102907091326038,prima programma
9,2026-06-16,2022-11-30,73.41378784179688,17168.56640625,72.11236938183494,1.8047090549347056,prima programma
10,2026-06-17,2022-12-01,71.93098449707031,16967.1328125,71.26629677596364,0.9326817179742264,prima programma
11,2026-06-18,2022-12-02,69.62649536132812,17088.66015625,71.77674269760466,-2.995743823783592,prima programma
12,2026-06-19,2022-12-03,69.7206039428711,16908.236328125,71.01891648013444,-1.8281221421147853,prima programma
13,2026-06-20,2022-12-04,73.17265319824219,17130.486328125,71.9524233155845,1.6958843447228311,prima programma
14,2026-06-21,2022-12-05,72.41815948486328,16974.826171875,71.29861085274266,1.5702250278520902,prima programma
15,2026-06-22,2022-12-06,71.90816497802734,17089.50390625,71.78028666337478,0.17815241565175555,prima programma
16,2026-06-23,2022-12-07,69.64368438720703,16848.126953125,70.76644173351066,-1.586567472943834,prima programma
17,2026-06-24,2022-12-08,67.98249816894531,17233.474609375,72.38500043377631,-6.082064292945288,prima programma
18,2026-06-25,2022-12-09,67.57408905029297,17133.15234375,71.96362126298317,-6.09965443046443,prima programma
19,2026-06-26,2022-12-10,71.83538055419922,17128.724609375,71.94502364631447,-0.15239843780475715,prima programma
20,2026-06-27,2022-12-11,70.41069793701172,17104.193359375,71.84198612299777,-1.992272573778231,prima programma
21,2026-06-28,2022-12-12,71.31294250488281,17206.4375,72.27143766026731,-1.3262433769342996,prima programma
22,2026-06-29,2022-12-13,74.94681549072266,17781.318359375,74.6860842825214,0.349102795662648,prima programma
23,2026-06-30,2022-12-14,73.52330780029297,17815.650390625,74.83028759341798,-1.7465919685172637,prima programma
24,2026-07-01,2022-12-15,77.38370513916016,17364.865234375,72.93687465898017,6.096820711020801,prima programma
25,2026-07-02,2022-12-16,80.64398193359375,16647.484375,69.92369159554887,15.331413564451024,prima programma
26,2026-07-03,2022-12-17,82.28005981445312,16795.091796875,70.5436805147096,16.637038518703704,da inizio programma
27,2026-07-04,2022-12-18,81.6496353149414,16757.9765625,70.3877870389463,15.999719198110052,da inizio programma
28,2026-07-05,2022-12-19,81.42304229736328,16439.6796875,69.0508587666633,17.917494078542994,da inizio programma
29,2026-07-06,2022-12-20,81.91517639160156,16906.3046875,71.01080309553569,15.355935745995541,da inizio programma
30,2026-07-07,2022-12-21,80.6487045288086,16817.53515625,70.63794836347012,14.171923728344682,da inizio programma
31,2026-07-08,2022-12-22,77.56999969482422,16830.341796875,70.69173952910607,9.72993480077844,da inizio programma
32,2026-07-09,2022-12-23,77.56999969482422,16796.953125,70.5514985688275,9.948053929924283,da inizio programma
