target,similar_asset,start_date,end_date,similarity,return_7d,drawdown_7d,max_gain_7d,return_14d,drawdown_14d,max_gain_14d,return_30d,drawdown_30d,max_gain_30d,return_60d,drawdown_60d,max_gain_60d
DOGE-USD,FIL-USD,2022-05-05,2022-08-12,86.64321452628043,-26.07484675701306,-26.07484675701306,0.0,-35.50795826553578,-35.50795826553578,0.0,-26.84684023276247,-35.94533010010982,0.0,-41.41087681544767,-41.41087681544767,0.0
DOGE-USD,MANA-USD,2025-01-25,2025-05-04,84.58115274026476,25.789532378259537,0.0,32.029540881943895,17.306072935273377,0.0,32.029540881943895,-2.8179718979037705,-6.909376673996448,32.029540881943895,-7.115885945357481,-18.615245045687335,32.029540881943895
DOGE-USD,INJ-USD,2021-05-13,2021-08-20,84.4757731105945,8.26060160523836,0.0,20.35293606447912,22.147961794227644,0.0,25.651801082396375,1.6141326950924961,-0.8055898687840513,44.16584270579587,24.77143842728853,-25.58447719793594,44.16584270579587
DOGE-USD,MATIC-USD,2022-04-21,2022-07-29,83.61065812398539,-1.180623331174746,-6.347321882498069,0.0,-0.5149440835400476,-6.347321882498069,0.0,-16.457238548302268,-18.643990527431487,9.172387121172342,-21.127850785140357,-24.98215655034133,9.172387121172342
DOGE-USD,SOL-USD,2021-12-30,2022-04-08,82.90807137702573,-7.73318400777775,-9.527953411871925,2.8887866240137283,-8.368628264623357,-9.527953411871925,2.8887866240137283,-31.494006213668168,-31.494006213668168,2.8887866240137283,-64.08264457986242,-65.15581662667984,2.8887866240137283
DOGE-USD,BTC-USD,2025-01-29,2025-05-08,82.72874154150661,0.48738140949460274,-0.4150539992449409,1.4091888804060426,8.167087365805914,-0.4150539992449409,8.167087365805914,2.299622691253145,-1.6132160445775368,8.167087365805914,4.8995728838651775,-2.1835416624574,8.167087365805914
DOGE-USD,YFI-USD,2022-05-05,2022-08-12,82.58203854551378,-24.42359281834139,-24.42359281834139,0.0,-22.283335581526455,-25.90333911363425,0.0,-11.731846038422312,-26.530580753641242,0.0,-32.16232994312595,-32.16232994312595,0.0
DOGE-USD,QTUM-USD,2022-05-01,2022-08-08,82.49788682381221,-1.335332619923446,-3.5544080288127944,2.872538730171592,-16.53666041346199,-19.618337150922805,2.872538730171592,-25.681091366115872,-28.307471652939586,2.872538730171592,-32.52026228223895,-33.72498803928742,2.872538730171592
DOGE-USD,BAT-USD,2021-05-11,2021-08-18,82.28142956484287,19.767295958182185,0.0,24.43113971955708,20.064020919511737,0.0,24.43113971955708,4.2222330146652665,0.0,36.57168506428281,-3.7678343279693105,-18.839586025458523,36.57168506428281
DOGE-USD,SAND-USD,2021-04-15,2021-07-23,82.08339883210516,0.4257096757422918,0.0,15.263644663670739,-2.7011686630833642,-9.87843641945637,15.263644663670739,0.7008512551749835,-10.849066154922426,15.263644663670739,-8.083011288958852,-10.849066154922426,53.90593233556582
DOGE-USD,VET-USD,2025-01-27,2025-05-06,81.74269105177869,28.421053891959257,-0.06026469018238778,29.650459558486485,14.539977161830198,-0.06026469018238778,29.650459558486485,-8.8589768083841,-8.8589768083841,29.650459558486485,-16.818001907845538,-22.547211020034318,29.650459558486485
DOGE-USD,IOTA-USD,2025-01-26,2025-05-05,81.4332255300594,19.188971305721083,-3.2510764785303348,25.959954617850478,9.56794535628298,-3.2510764785303348,25.959954617850478,-10.705706778936609,-12.59393463412033,25.959954617850478,-23.60582152324312,-27.82361951643345,25.959954617850478
DOGE-USD,ZEC-USD,2026-01-10,2026-04-19,81.39529851935323,17.666644083769746,0.0,19.1804531881826,36.83275881769434,0.0,36.83275881769434,90.11712434109343,0.0,103.19076110092635,51.06861931201709,0.0,122.28628574375423
DOGE-USD,NEAR-USD,2022-10-18,2023-01-25,81.33087836979217,-4.68863405836617,-9.373373731340774,1.1231370023249365,3.682038411184374,-9.373373731340774,3.682038411184374,-9.162009708815122,-14.086591097491164,5.873060823091469,-23.01093564013258,-29.77240313067395,5.873060823091469
DOGE-USD,QTUM-USD,2021-05-11,2021-08-18,81.26332455473107,-0.3476460917518742,-2.3540331737910036,8.999189599835166,2.043592885762391,-8.923984346960612,8.999189599835166,-3.6670019573647794,-8.923984346960612,24.23822531476125,-3.9947040334530337,-33.240890787628416,24.23822531476125
