signal_date,generated_utc,btc_price,power_central_price,power_lower_price,power_upper_price,power_percentile,power_deviation_pct,power_beta,cycle_phase_pct,days_since_halving,global_weight
2026-07-11,2026-07-11T17:36:04.183314+00:00,64340.640625,122003.14829888575,76159.41880814107,306314.8609443631,2.108433734939759,-47.2631308928381,5.848032075626555,55.64795991704141,813,0
2026-08-01,2026-08-01T05:15:12.015300+00:00,63058.640625,123103.35710519862,76471.80054557938,309096.14709975244,0.507380073800738,-48.77585623346331,5.831641040397632,57.08536109571038,834,0
2026-09-01,2026-09-01T05:33:20.182920+00:00,79008.7890625,124394.30411122026,77294.99796159954,314321.14308640553,11.976185024043966,-36.48520354126611,5.808513372775988,59.20723902612648,865,0
