target,similar_asset,start_date,end_date,similarity,return_30d_report,drawdown_30d_report,max_gain_30d_report,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,return_path_30d,drawdown_path,max_gain_path,asset,trigger_side
DOGE-USD,DASH-USD,2022-02-20,2022-05-30,88.63731527399989,-29.45031583544584,-33.95277127902522,2.3199262300169776,0.0,2.3199262300169776,-5.605965084246856,-5.045050664281003,-7.747679532836848,-6.960491875637597,-7.085377924597303,-4.765753891862811,-7.264411682632654,-7.9360028353357865,-8.456465127068213,-14.41038620631383,-22.159020682563334,-26.440588044483192,-32.95929166891048,-30.835860155910833,-27.423798990939098,-33.786641344951974,-30.81452502776739,-33.95277127902522,-29.832891551126075,-28.047346819672782,-25.48827374818855,-28.252000863317196,-22.857452997896765,-17.9038351434044,-17.124746373375743,-21.6694731728291,-22.008816545277043,-26.632054198719977,-29.45031583544584,-29.45031583544584,-33.95277127902522,2.3199262300169776,DOGE,negative
DOGE-USD,NEAR-USD,2022-03-02,2022-06-09,88.49711051193549,-25.05018407238141,-39.09736132269396,0.0,0.0,-11.508455244458403,-19.729447940487333,-26.99185307537303,-31.189811483909757,-33.401452687449265,-24.79863036937203,-36.882098346332306,-33.560899828519375,-39.097361322693956,-35.31211143350519,-32.817868738696035,-31.075096990325545,-35.527954081175004,-29.95162493746343,-21.274621956350316,-17.811128112801143,-25.555909288289737,-26.524775740952787,-32.80554908140206,-32.83549907841833,-34.42677563511446,-34.15701923968292,-34.816364858520046,-34.62600598024126,-30.47247996859379,-33.119597131255674,-31.12385487237286,-26.962714693250856,-29.191216844358724,-25.05018407238141,-25.05018407238141,-39.097361322693956,0.0,DOGE,negative
DOGE-USD,VET-USD,2022-02-22,2022-06-01,87.39030380621199,-27.52299283653812,-29.00258516789568,4.386395623305073,0.0,3.237419919639617,-0.9754787993245917,0.049107154017269394,-0.5270208548095789,4.209636696689678,0.4550124752535911,-0.8118045452347622,4.386395623305073,-3.5025644068006345,-9.82028452272864,-15.339290863185362,-22.13493077714358,-21.509701711537353,-16.56354916315714,-25.742245731003642,-23.558867520983185,-29.002585167895678,-24.704569007898304,-22.622667128186926,-22.82235166929265,-25.51310543362062,-20.943402450199432,-16.707584213982805,-14.252506986062752,-20.458934218668535,-19.565286449150953,-23.29044881707183,-25.6800539044608,-25.585126007652402,-27.52299283653812,-27.52299283653812,-29.002585167895678,4.386395623305073,DOGE,negative
DOGE-USD,QTUM-USD,2022-02-20,2022-05-30,87.30680633833946,-31.6492289314374,-37.87436814952592,0.0,0.0,-0.13928965710170438,-7.340326748984671,-4.688149306053758,-8.035257780336181,-7.267830627716099,-7.040316935499291,-2.7841900055663227,-4.519018408701547,-5.700163554272642,-6.27146986200774,-12.22536984072038,-19.08852302006634,-25.33756042249975,-33.369360008455395,-33.382780550885784,-28.86554849424835,-36.45968037352164,-34.06229284470955,-37.874368149525914,-34.01964368917886,-32.98452709936159,-32.14037269029545,-34.13330606474542,-29.015441753987027,-25.249714269552047,-24.480340451221082,-29.056917184603805,-27.974347755339846,-30.602896111832965,-31.6492289314374,-31.6492289314374,-37.874368149525914,0.0,DOGE,negative
DOGE-USD,ZEC-USD,2019-05-17,2019-08-24,87.28095761703698,-11.706969251824184,-11.706969251824184,5.150438502850885,0.0,-0.29416819956012974,2.7265946174457767,0.41834149471411397,-7.423883000486775,-10.49049021222932,-11.135402969267627,-10.861931584760065,-9.390027264351186,-6.673541806844863,-8.956882799898558,-10.449529506328936,-10.602116300606468,-8.317962625273644,-6.028621454645078,-3.501658061728463,-5.7670668785109065,-10.236644725004652,-11.173150921858932,-10.730641623292602,-11.07506700641343,-7.920515419810781,-6.706611139960062,-3.1960971199375465,1.285845649457329,5.150438502850885,2.6221459566740046,-2.633865290848736,-4.6220583085104465,-7.872832995994239,-11.706969251824184,-11.706969251824184,-11.706969251824184,5.150438502850885,DOGE,negative
DOGE-USD,1INCH-USD,2022-02-22,2022-06-01,86.51418411287193,-31.616479532700737,-42.19418518251301,0.0,0.0,-2.322191499123749,-8.458730112623947,-8.989232964687389,-9.941771868032056,-8.256151308813365,-11.228000475994603,-14.132679434191086,-15.926872987212803,-20.49233583105565,-27.127207057962966,-31.33833502461335,-37.32144346299189,-37.780896937486986,-34.05321582138584,-39.501417520661576,-38.15734494960048,-42.19418518251301,-39.25062708540449,-28.176269170573164,-27.822671397878075,-28.135397350858927,-25.302404928355628,-20.58865290092785,-23.703244228018903,-27.367097091966595,-29.61351674742021,-22.410831438256405,-25.954480049298546,-27.13622097143501,-31.616479532700737,-31.616479532700737,-42.19418518251301,0.0,DOGE,negative
DOGE-USD,OMG-USD,2022-02-20,2022-05-30,86.49038883628167,-32.456419774523525,-37.50489716515811,0.0,0.0,-0.209372745637737,-9.409784912524465,-7.3327117129110775,-12.086497916227012,-11.759593206794449,-9.99199141457483,-6.657816135274119,-4.32707713812005,-4.301256115289009,-1.2410537470259997,-9.486650712973576,-17.176978831262424,-21.42606488131419,-30.957519353648642,-29.87047852942567,-26.655172574974884,-34.7035845258064,-32.56729522924792,-37.50489716515811,-34.12043884139694,-31.999795370774475,-31.877844489059694,-34.570341815636,-30.68406147809818,-26.89199368246219,-25.98408566312593,-31.1057933095938,-27.82691293268824,-32.61416778661639,-32.456419774523525,-32.456419774523525,-37.50489716515811,0.0,DOGE,negative
DOGE-USD,CHZ-USD,2022-02-24,2022-06-03,86.13089384978504,-19.168771449755027,-28.70965917342485,5.971575109494065,0.0,4.7741402899968755,3.4273318606730996,5.971575109494065,1.3230033096637506,-1.4477524096339511,-1.911459997401188,-6.738946258092627,-14.278913696504603,-19.397754320525262,-23.04504353010418,-22.333476522789287,-15.865369298855757,-24.34998968118689,-22.265357069151335,-28.70965917342485,-23.478384761788284,-23.196875310519836,-21.980563942245222,-24.442733644681226,-19.624272905854212,-16.952828501326156,-13.797974455204887,-19.403502281604233,-10.501133540728736,-16.006530662162056,-18.049307110808765,-20.325169496059747,-22.4672511446239,-20.32598888625611,-19.168771449755027,-19.168771449755027,-28.70965917342485,5.971575109494065,DOGE,negative
DOGE-USD,AVAX-USD,2025-08-14,2025-11-21,85.9989404701233,-8.748803613356515,-14.036527879841554,12.9422400659581,0.0,-0.5603498646783667,-0.18444607746491704,4.426168157295729,6.52387933970211,12.28539780976108,12.9422400659581,11.658329898015873,7.087190149301881,3.5520298245299564,-3.942559102396359,2.5702005627946223,11.36485222160486,8.24669761439607,-0.5080135500869276,0.8296452960048661,1.155765060132996,2.549244528883543,9.796641155700536,6.311107128134363,0.9646443102181212,-1.4345885684584059,0.6336565518971993,-3.0962235405875282,-7.22441883390389,-7.19669492588676,-11.00077070600255,-14.036527879841554,-7.919265857724089,-8.21672969727385,-8.748803613356515,-8.748803613356515,-14.036527879841554,12.9422400659581,DOGE,negative
DOGE-USD,XTZ-USD,2025-12-06,2026-03-15,85.93567002544438,-10.412300137040075,-12.143454813407253,4.262162210100873,0.0,3.60592765795662,2.671517952095348,1.8504420062913418,0.6360448553675901,4.262162210100873,0.6476897912471635,-2.0815284325376493,1.7332214596888607,3.4602348575346165,0.632427984554651,-4.2000584560357375,-9.145369672731029,-10.510626582380977,-12.143454813407251,-10.216148518432544,-8.893075581803355,-8.982086078440599,-11.33946067751933,-9.664456185350367,-9.78737580984359,-10.826327734766917,-11.623072705272842,-6.474113924489922,-8.865644431522767,-8.63016223477887,-7.170712446431371,-8.423406783830655,-11.586842302118994,-8.149118416658895,-10.412300137040075,-10.412300137040075,-12.143454813407251,4.262162210100873,DOGE,negative
