generated_utc,asset,horizon_days,horizon,horizon_family,module_key,module,calibration_role,calibratable,parent_family,controls,correct,accuracy_direction_pct,avg_return_pct,avg_direction_adjusted_return_pct,avg_drawdown_pct,avg_max_gain_pct,metric_status,recommendation,suggested_weight_delta,confidence,recommendation_reason
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,global,Global confluence,BENCHMARK,False,,43,23,53.48837209302325,0.5462125794680541,0.5179577610656112,0.0822224507217592,1.1258402666880551,PRIMA CALIBRAZIONE,ESCLUSO,0.0,N/A,Aggregato finale usato come benchmark; non è un peso interno da modificare.
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,statistical_family,Famiglia statistica,CALIBRABILE,True,,46,26,56.52173913043478,0.5046823824001289,0.5046823824001289,0.059393992988883,1.0649178284705345,PRIMA CALIBRAZIONE,PESO OK,0.0,MEDIA,"Risultato discreto, ma non abbastanza forte per cambiare il peso."
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,scanner,Scanner grezzo,DIAGNOSTICO,False,statistical_family,46,26,56.52173913043478,0.5046823824001289,0.5046823824001289,0.059393992988883,1.0649178284705345,PRIMA CALIBRAZIONE,ESCLUSO,0.0,N/A,Modulo diagnostico già incluso nella famiglia statistical_family; nessuna modifica di peso separata.
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,market,Market regime grezzo,DIAGNOSTICO,False,statistical_family,35,19,54.285714285714285,0.245723370846947,0.245723370846947,-0.104782614639046,0.7006283141561662,PRIMA CALIBRAZIONE,ESCLUSO,0.0,N/A,Modulo diagnostico già incluso nella famiglia statistical_family; nessuna modifica di peso separata.
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,technical,Tecnico,CALIBRABILE,True,,41,16,39.02439024390244,0.6835089722751675,0.1811840179222681,0.2099865757552142,1.2479395003641662,PRIMA CALIBRAZIONE,NON AUMENTARE,0.0,MEDIA,Il modulo non dimostra ancora un vantaggio abbastanza stabile.
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,classic_technical,Classic technical,CALIBRABILE,True,,14,5,35.714285714285715,1.3291715662101196,0.5776404730075323,0.4812143319667704,1.9067141382121413,FEEDBACK RAPIDO,OSSERVA,0.0,BASSA,"Meno di 30 controlli: dato utile solo come osservazione, nessuna modifica."
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,exchange_microstructure,Microstruttura exchange,CALIBRABILE / NON PESATO FINO AL GATE,True,,3,2,66.66666666666666,0.2734614962942396,0.2734614962942396,-0.2643734224927363,0.7422900858932158,FEEDBACK RAPIDO,OSSERVA,0.0,BASSA,"Meno di 30 controlli: dato utile solo come osservazione, nessuna modifica."
2026-08-26T05:32:45+00:00,BTC,1,1g,BREVE,sol_fractal,Frattale SOL,CALIBRABILE,True,,0,0,,,,,,RACCOLTA DATI,OSSERVA,0.0,BASSA,"Meno di 30 controlli: dato utile solo come osservazione, nessuna modifica."
2026-08-26T05:32:45+00:00,BTC,2,2g,BREVE,global,Global confluence,BENCHMARK,False,,42,23,54.761904761904766,1.0156724581732246,0.9035509463804042,0.4303144785226719,1.7365987641354117,PRIMA CALIBRAZIONE,ESCLUSO,0.0,N/A,Aggregato finale usato come benchmark; non è un peso interno da modificare.
2026-08-26T05:32:45+00:00,BTC,2,2g,BREVE,statistical_family,Famiglia statistica,CALIBRABILE,True,,45,26,57.77777777777777,1.1172826234566051,1.1172826234566051,0.5413324611778628,1.828196815885204,PRIMA CALIBRAZIONE,PESO OK,0.0,MEDIA,"Risultato discreto, ma non abbastanza forte per cambiare il peso."
