prediction_date,asset,day,p10,p25,p50,p75,p90,mean,current_price
2026-07-10,BTC,0,0.0,0.0,0.0,0.0,0.0,0.0,63030.66015625
2026-07-10,BTC,1,-2.213641721733033,-0.15883820646236946,2.510734243144075,6.9035249111134736,9.005346101267344,3.476522794795057,63030.66015625
2026-07-10,BTC,2,-4.138879147150264,-1.5360781307988987,1.8689666932988902,7.441634198546238,9.36709822191377,2.7358235965373288,63030.66015625
2026-07-10,BTC,3,-1.8814866405917747,-0.25716040537391294,3.624901965740124,10.711365862690464,13.712919770844826,5.525647445348489,63030.66015625
2026-07-10,BTC,4,-3.653710408651759,-0.41420373972460567,2.595030085954808,7.771253369067599,10.21582896538429,4.284789324811971,63030.66015625
2026-07-10,BTC,5,-3.375650838529747,-1.6290891335443647,2.339274315330231,6.449557682515206,13.126442736423263,3.4311221065893998,63030.66015625
2026-07-10,BTC,6,-1.8214530878597819,0.03689340480956538,3.021451111192941,9.035307153590601,15.46016659247635,5.338466961366588,63030.66015625
2026-07-10,BTC,7,-2.226839413049436,1.7838860884815566,5.042923422251078,9.116583987388488,18.96931211950215,7.009301263445378,63030.66015625
2026-07-10,BTC,8,-2.004419436601246,2.2172184697846378,6.867456088024615,11.564938602237874,26.132633275911825,8.404097503125394,63030.66015625
2026-07-10,BTC,9,0.8121708347739668,4.686639265872433,9.39160258931009,15.253394296231344,26.42813676938797,9.258329616555711,63030.66015625
2026-07-10,BTC,10,-3.182998348949842,3.9940922607685945,8.409136726238941,18.233320745062347,24.91795735901449,9.168860306233842,63030.66015625
2026-07-10,BTC,11,-4.004925104793503,2.6441998088279184,8.72458352475881,19.19759715565537,27.194511322800565,10.048877038626516,63030.66015625
2026-07-10,BTC,12,-2.129695720300627,1.057919257223322,7.931553396003155,17.066470893253282,24.562109876860177,8.208840356744371,63030.66015625
2026-07-10,BTC,13,-5.048683834053754,-0.012207455494980812,6.277516157656715,19.688205105890646,26.01056767561036,8.545831955721372,63030.66015625
2026-07-10,BTC,14,-4.468389110777078,0.5036046475928591,6.389706534642714,22.069341488080486,33.42920598608225,10.384259058213951,63030.66015625
2026-07-10,BTC,15,-4.986351635673832,0.7138651951039854,6.86852298160654,18.65857781763619,27.62711364765604,8.400789487158445,63030.66015625
2026-07-10,BTC,16,-3.946442044168191,0.6043673014442558,7.1931695985168576,21.84508426727676,30.702728548454946,9.949660445746527,63030.66015625
2026-07-10,BTC,17,-6.525193464587339,-1.4818496675366637,5.302487072074669,24.014039926467873,32.78792675677984,9.540413116989393,63030.66015625
2026-07-10,BTC,18,-6.4574096653643,-2.152748973926846,5.73189440828934,19.32711364211295,29.869752443423998,7.7454949971694065,63030.66015625
2026-07-10,BTC,19,-7.114824126603331,-2.3754126374850912,5.00584705660061,20.23773041204594,29.84286406784807,7.289639920631897,63030.66015625
2026-07-10,BTC,20,-7.941384720399334,-3.818766348666178,5.667712142386028,19.558007956521074,30.270835057152166,7.4762459003884345,63030.66015625
2026-07-10,BTC,21,-8.372376006735394,-4.069363025043354,3.5981028313622154,18.548020814084296,31.38236445428588,7.80913382877551,63030.66015625
2026-07-10,BTC,22,-7.566318467997119,-4.006029583132184,3.2432284966132374,19.870446869561036,34.575292273420416,9.144341713360154,63030.66015625
2026-07-10,BTC,23,-10.696966341216829,-4.635566153151469,4.828225524741702,23.717655117286625,48.91474291309321,11.75906958059883,63030.66015625
2026-07-10,BTC,24,-10.602354230921435,-4.302128998268359,2.4538667325543884,19.41899922880552,42.39873689107282,9.989018620818953,63030.66015625
2026-07-10,BTC,25,-14.495188523677047,-5.742934788174283,1.208491815954027,16.563863318817223,28.90593128410876,6.504063332014961,63030.66015625
