tracking_date,generated_at_utc,sol_current_price,sol_elapsed_days,btc_equivalent_date,price_similarity,rsi_similarity,ma_similarity,total_similarity,structural_similarity,live_adherence_score,live_avg_abs_gap_pct,phase_gap_pct,verdict,verdict_confidence,operational_weight,phase_label,phase_risk,confirm_1,confirm_2,soft_invalid,hard_invalid,cycle_max_base_price,cycle_max_beta_price,program_start_date,pre_program_alignment_score,pre_program_avg_abs_gap_pct,live_program_alignment_score,live_program_avg_abs_gap_pct,all_alignment_score,all_avg_abs_gap_pct
2026-07-06,2026-07-06 14:23:26 UTC,80.06999969482422,30,2022-12-21,69.57437387217313,83.30916445102721,82.96847176664285,75.0171862010571,,,,20.863654195867976,PARZIALMENTE SI,MEDIA,,FASE ANTICIPATA,MEDIO / ALTO,107.96537980456002,117.31963400480204,76.06649971008301,62.18980407714844,593.9595217913845,2173.9282089536805,,,,,,,
2026-07-07,2026-07-07 22:45:08 UTC,80.95999908447266,31,2022-12-22,68.46164962039035,82.62486958068233,82.44492312245835,74.09994563577354,,,,22.11409540928515,PARZIALMENTE SI,MEDIA,,FASE ANTICIPATA,MEDIO / ALTO,109.5685709418488,119.43713675152316,76.91199913024901,62.18980407714844,600.104557452361,2168.3928184407064,,,,,,,
2026-07-08,2026-07-08 23:37:01 UTC,77.44999694824219,32,2022-12-23,68.10216544091489,82.7681863895852,82.58180132794062,73.94061606113632,,,,17.05207925865839,PARZIALMENTE SI,MEDIA,,FASE ANTICIPATA,MEDIO / ALTO,105.02660652856976,114.4860890187087,73.57749710083007,62.18980407714844,575.2283222257303,2375.9144039582475,2026-07-03,87.95124143243356,6.024379283783218,54.8906036187268,22.5546981906366,81.94021637539598,9.029891812302017
2026-07-09,2026-07-09 23:43:48 UTC,77.98999786376953,33,2022-12-24,67.77350776610831,82.80052892520243,82.63747691224603,73.7598584278025,,,,17.512776044387323,PARZIALMENTE SI,MEDIA,,FASE ANTICIPATA,MEDIO / ALTO,106.16584722551087,114.93668650963448,74.09049797058105,62.18980407714844,577.4923216419564,2330.3119462536656,2026-07-03,87.95124143243356,6.024379283783218,56.18562153472074,21.90718923263963,81.41126086525739,9.294369567371302
2026-07-10,2026-07-10 23:41:35 UTC,78.01000213623047,34,2022-12-25,63.55957025336947,82.85931345672209,82.73363240371003,65.14406720501123,65.14406720501123,57.24572929090832,21.37713535454584,17.58318430925856,"STRUTTURA ANALOGA, PREZZO NON ADERENTE",BASSA / NON OPERATIVO,0.0,FRATTALE NON CONFERMATO DAL PREZZO,ALTO,81.91050224304199,115.0055512998266,74.10950202941895,62.18980407714844,577.8383285504129,2336.381055529077,2026-07-03,87.95124143243356,6.024379283783218,57.24572929090832,21.37713535454584,80.93283865722779,9.533580671386105
2026-07-11,2026-07-11 18:59:43 UTC,78.01000213623047,35,2022-12-26,63.6035103554181,82.99895753991015,82.88191760645591,65.19925140127847,65.19925140127847,58.19004432749127,20.904977836254364,17.042390212516146,"STRUTTURA ANALOGA, PREZZO NON ADERENTE",BASSA / NON OPERATIVO,0.0,FRATTALE NON CONFERMATO DAL PREZZO,ALTO,81.91050224304199,114.47661237373003,74.10950202941895,62.18980407714844,575.1807074051166,2317.7251870581385,2026-07-03,87.95124143243356,6.024379283783218,58.19004432749127,20.904977836254364,80.510942156198,9.744528921901004
2026-07-12,2026-07-12 07:39:38 UTC,76.44999694824219,36,2022-12-27,63.19562653566035,83.3184922829951,83.21931972307904,65.20224078665824,65.20224078665824,59.50844431699768,20.24577784150116,16.092149388991327,"STRUTTURA ANALOGA, PREZZO NON ADERENTE",BASSA / NON OPERATIVO,0.0,FRATTALE NON CONFERMATO DAL PREZZO,ALTO,80.2724967956543,113.54720252300136,72.62749710083007,62.18980407714844,570.5109446970257,2324.0313045629687,2026-07-03,87.95124143243356,6.024379283783218,59.50844431699768,20.24577784150116,80.26399896880224,9.868000515598878
2026-07-13,2026-07-14 08:22:22 UTC,74.86138916015625,37,2022-12-28,62.62178473803098,83.47183393899782,83.48616614908121,65.25330379001721,65.25330379001721,60.37970165420682,19.81014917289659,14.81024062429297,"STRUTTURA ANALOGA, PREZZO NON ADERENTE",BASSA / NON OPERATIVO,0.0,FRATTALE NON CONFERMATO DAL PREZZO,ALTO,81.11314928690446,112.29339548361664,71.11831970214844,62.18980407714844,564.2112682398955,2388.0674009989007,2026-07-03,87.95124143243356,6.024379283783218,60.37970165420682,19.81014917289659,79.97000623347319,10.014996883263404
2026-07-14,2026-07-14 21:56:22 UTC,77.16999816894531,38,2022-12-29,61.96113521252625,83.47933960762236,83.61117147458515,64.9880196756962,64.9880196756962,60.72932307364838,19.63533846317581,17.71242065624723,ANALOGIA DEBOLE / SCENARIO SECONDARIO,BASSA,0.0,FRATTALE SOLO DI CONTESTO,ALTO,87.49766593795798,115.13195455570644,73.31149826049804,62.18980407714844,578.4734339455473,2516.3959374137694,2026-07-03,87.95124143243356,6.024379283783218,60.72932307364838,19.63533846317581,79.57526655280736,10.212366723596322
2026-07-15,2026-07-15 07:26:29 UTC,77.68000030517578,39,2022-12-30,61.059074266889255,83.33300636894923,83.63579851708738,64.4882052857161,64.4882052857161,60.72279242729027,19.638603786354864,18.774092178172896,ANALOGIA DEBOLE / SCENARIO SECONDARIO,BASSA,0.0,FRATTALE SOLO DI CONTESTO,ALTO,93.1527014653298,116.17035234528537,73.79600028991699,62.18980407714844,583.6907998580539,2605.596324304085,2026-07-03,87.95124143243356,6.024379283783218,60.72279242729027,19.638603786354864,79.10199550576199,10.449002247119004
