metric,percentile,percent_value,price_level
return_30d,10,-37.854409537870566,0.05030064136306581
return_30d,25,-24.19698747780047,0.06135495887584641
return_30d,50,-16.47524458756564,0.06760493762624858
return_30d,75,0.6585796257208842,0.08147305506662486
return_30d,90,16.061120455030622,0.09393987172366851
drawdown_30d,10,-38.16054308482354,0.05005285686797972
drawdown_30d,25,-31.616058695733134,0.05534996257916326
drawdown_30d,50,-21.880888389434027,0.06322960949448102
drawdown_30d,75,-13.97060141821971,0.06963219582537207
drawdown_30d,90,-4.615886634753766,0.0772039020377965
max_gain_30d,10,1.7700021258799439,0.08237264044617662
max_gain_30d,25,4.107208998667334,0.08426437570567202
max_gain_30d,50,10.176219163724099,0.08917663257653322
max_gain_30d,75,19.34158141592814,0.09659507684880442
max_gain_30d,90,43.716077712562566,0.11632379432505917
