generated_utc,asset,price,data_coverage,source_health,exchange_count,kraken_available,bitget_available,kucoin_available,kraken_status,bitget_status,kucoin_status,raw_score,candidate_global_score,global_score,global_activation_status,calibration_controls_7d,calibration_accuracy_7d,calibration_signed_return_7d,bias,confidence,flow_score,derivatives_score,crowding_score,liquidation_score,technical_confirmation_score,funding_rate_pct,basis_pct,price_change_24h_pct,open_interest_usd_combined,oi_change_4h_pct,oi_change_24h_pct,global_long_short_ratio,top_account_long_short_ratio,top_position_long_short_ratio,taker_buy_sell_ratio_1h,taker_buy_sell_ratio_4h,taker_buy_sell_ratio_24h,orderbook_imbalance_0_25pct,orderbook_imbalance_0_5pct,orderbook_imbalance_1_0pct,spread_bps,intraday_samples_4h,intraday_samples_24h,intraday_span_4h_hours,intraday_span_24h_hours,intraday_span_hours,intraday_taker_ratio_avg_4h,intraday_taker_ratio_avg_24h,intraday_book_imbalance_avg_4h,intraday_book_imbalance_avg_24h,intraday_funding_avg_24h,intraday_oi_change_4h_pct,intraday_oi_change_24h_pct,intraday_price_change_4h_pct,intraday_price_change_24h_pct,intraday_long_liquidation_usd_observed_24h,intraday_short_liquidation_usd_observed_24h,intraday_liquidation_events_observed_24h,bullish_consensus_count,bearish_consensus_count,divergent_metric_count,kraken_funding_rate_pct,bitget_funding_rate_pct,kucoin_funding_rate_pct,kraken_open_interest_usd,bitget_open_interest_usd,kucoin_open_interest_usd,kraken_taker_ratio,bitget_taker_ratio,kucoin_taker_ratio,kraken_book_imbalance_0_5pct,bitget_book_imbalance_0_5pct,kucoin_book_imbalance_0_5pct,long_liquidation_usd_sample,short_liquidation_usd_sample,liquidation_events_sample,largest_liquidation_usd_sample,wyckoff_confirmation,fibonacci_confirmation,rsi_confirmation,pattern_confirmation,breakout_quality,liquidity_map,detail
2026-09-16T05:32:49+00:00,BTC,75680.3,1.0,OK,3,True,True,True,OK,OK,OK,1.75,0,0,LOCKED / RACCOLTA 7G,5,40.0,-1.3008414672580648,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.75,0.0,0,0.0,0.0,0.007543888519901538,-0.040579785956517074,-2.4925626393901057,3505850212.7595057,0.35444505923820646,-0.7977433200294537,,,,,2.1924571952011034,1.576457415878227,,0.015475948628419901,,0.013213478277150165,9,49,3.999722222222222,24.0,1610.1516666666666,2.1924571952011034,1.576457415878227,0.015475948628419901,-0.0031856125571159237,0.007543888519901538,0.35444505923820646,-0.7977433200294537,-0.10314362333754268,-2.4925626393901057,0.0,0.0,0.0,0,1,0,0.024594926198574254,0.0092,0.0092,157002439.6115945,2543295761.984711,805552011.1632,0.5309260004431372,0.19520684829760263,1.9298109093953975,0.05422297084213779,-0.005603733988953063,-0.007363501519540719,0.0,0.0,0,0.0,Fase Wyckoff non abbastanza chiara per una conferma exchange.,Livello Fibonacci soltanto testato: order book e taker flow non bastano ancora per dichiararlo tenuto o perso.,RSI in zona non estrema o flusso exchange non abbastanza netto.,I pattern candidati restano non operativi: i dati exchange possono solo preparare la conferma.,Prezzo non abbastanza vicino a un livello chiave o flusso non netto.,muro bid: n/a; muro ask: n/a,"Flow +1.75, derivati +0.00, affollamento +0.00, liquidazioni +0.00, conferme tecniche +0.00; exchange 3/3, copertura 100%, consenso bull 0, bear 1, divergenze 0, campioni 4h 9 su 4.00h; candidato +0, peso Global +0 (LOCKED / RACCOLTA 7G)."
2026-09-16T05:32:49+00:00,SOL,96.852,1.0,OK,3,True,True,True,OK,OK,OK,2.0,0,0,LOCKED / RACCOLTA 7G,5,60.0,3.6338852095715795,LEGGERMENTE POSITIVA / NON PESATA,BASSA,1.75,0.0,0,0.0,0.5,-0.0022626521975618276,-0.059621480998277306,-4.296442687747037,590695616.6947454,-0.15199805881083162,1.0557823415096923,,,,,0.9815721088145223,2.7829549316991615,,0.09751194243095125,,0.10325565066450836,9,49,3.999722222222222,24.0,1610.1516666666666,0.9815721088145223,2.7829549316991615,0.09751194243095125,0.05578048301021561,-0.0022626521975618276,-0.15199805881083162,1.0557823415096923,-0.07737782042155361,-4.296442687747037,0.0,0.0,0.0,0,2,0,0.03248041753802766,-0.0031999999999999997,-0.0046,24804153.42684956,421950662.8931958,143940800.3747,0.15657115258571702,0.1845704986356267,0.8049615469029248,-0.025517144629384918,-0.28598965965476975,-0.05010812854767831,0.0,0.0,0,0.0,Fase Wyckoff non abbastanza chiara per una conferma exchange.,Fibonacci tenuto con acquisti/assorbimento coerenti: conferma positiva. Confluenza tecnica dichiarata: neckline ribassista.,RSI in zona non estrema o flusso exchange non abbastanza netto.,I pattern candidati restano non operativi: i dati exchange possono solo preparare la conferma.,Prezzo non abbastanza vicino a un livello chiave o flusso non netto.,muro bid: n/a; muro ask: n/a,"Flow +1.75, derivati +0.00, affollamento +0.00, liquidazioni +0.00, conferme tecniche +0.50; exchange 3/3, copertura 100%, consenso bull 0, bear 2, divergenze 0, campioni 4h 9 su 4.00h; candidato +0, peso Global +0 (LOCKED / RACCOLTA 7G)."
2026-09-16T05:32:49+00:00,DOGE,0.08,1.0,OK,3,True,True,True,OK,OK,OK,2.375,0,0,LOCKED / RACCOLTA 7G,9,44.44444444444444,-1.4330335184890797,LEGGERMENTE POSITIVA / NON PESATA,MEDIA,2.0,0.0,0,0.0,0.75,0.004799660941683186,-0.062054945657902816,-3.799903799903792,164947350.69700527,1.864349382531083,-0.0632481888627634,,,,,1.8713868391468322,1.5616783898441848,,0.3663313347863392,,2.499999999999031,9,49,3.999722222222222,24.0,1610.1516666666666,1.8713868391468322,1.5616783898441848,0.3663313347863392,0.22363494269210796,0.004799660941683186,1.864349382531083,-0.0632481888627634,-0.012498437695285247,-3.799903799903792,0.0,0.0,0.0,0,2,0,0.01721063027458,0.0085,-0.0021,4297097.9770052675,104955500.72,55694752.0,0.10334760704929938,0.21574942013996656,0.8694690276540499,-0.13816186833528374,0.6540343512814916,-0.33432227946695414,0.0,0.0,0,0.0,Possibile accumulazione/spring sostenuto da pressione compratrice o assorbimento.,Livello Fibonacci soltanto testato: order book e taker flow non bastano ancora per dichiararlo tenuto o perso.,RSI in zona non estrema o flusso exchange non abbastanza netto.,I pattern candidati restano non operativi: i dati exchange possono solo preparare la conferma.,Prezzo non abbastanza vicino a un livello chiave o flusso non netto.,muro bid: n/a; muro ask: n/a,"Flow +2.00, derivati +0.00, affollamento +0.00, liquidazioni +0.00, conferme tecniche +0.75; exchange 3/3, copertura 100%, consenso bull 0, bear 2, divergenze 0, campioni 4h 9 su 4.00h; candidato +0, peso Global +0 (LOCKED / RACCOLTA 7G)."
