snapshot_date,asset,target_ticker,current_price,direction,positive_cases,chart_filename,p10_30d_price,p25_30d_price,p50_30d_price,p75_30d_price,p90_30d_price,p10_30d_pct,p25_30d_pct,p50_30d_pct,p75_30d_pct,p90_30d_pct
2026-08-09,BTC,BTC-USD,64727.53125,SALITA,85.0,scanner_forecast_BTC.png,61702.37936233854,67825.98578133612,72275.49493165588,75147.653955342,81041.55340634097,-4.6736710472971295,4.786919061332378,11.661133270328282,16.09843988193508,25.20414704730604
2026-08-09,SOL,SOL-USD,75.94999694824219,SALITA,80.0,scanner_forecast_SOL.png,67.96030330037549,77.20314977269506,85.14180425030477,92.29422081613156,120.77649024974164,-10.519676061753444,1.6499708687372994,12.10244591362729,21.519716293112584,59.02106004302733
2026-08-09,DOGE,DOGE-USD,0.06996999680995941,SALITA,70.0,scanner_forecast_DOGE.png,0.0520340369024733,0.064004433851175,0.0807050281691403,0.0939558150434743,0.1078602025854325,-25.633786944710916,-8.52588713843597,15.342335070183932,34.28014767338227,54.15207589387787
