target,similar_asset,start_date,end_date,similarity,return_7d,drawdown_7d,max_gain_7d,return_14d,drawdown_14d,max_gain_14d,return_30d,drawdown_30d,max_gain_30d,return_60d,drawdown_60d,max_gain_60d,source_file,btc_regime_today,btc_regime_snapshot_date,btc_price_today,btc_above_ma200_today,btc_return_90d_today,btc_ma200_slope_60d_today,target_regime_today,target_regime_snapshot_date,target_price_today,target_above_ma200_today,target_return_90d_today,target_ma200_slope_60d_today,btc_regime_at_match,btc_price_at_match,btc_above_ma200_at_match,btc_return_90d_at_match,btc_ma200_slope_60d_at_match,similar_asset_regime_at_match,similar_asset_price_at_match,similar_asset_above_ma200_at_match,similar_asset_return_90d_at_match,similar_asset_ma200_slope_60d_at_match,same_btc_regime_as_today,same_asset_regime_as_today,same_full_regime_as_today,regime_alignment,outcome_family,selected_regime_group,full_regime_matches,same_asset_regime_matches,same_btc_regime_matches,selected_sample_size,minimum_required,fallback_level,selection_reason,regime_adjusted_cohort_size,regime_adjusted_min_matches,regime_adjusted_eligible,regime_adjusted_selected,regime_report_generated_at_utc
BTC-USD,XLM-USD,2020-09-03,2020-12-11,90.69603728814845,22.45469378695104,0.0,26.604713529659097,0.9306769747981392,-16.344094012745337,26.604713529659097,90.996832295798,-16.344094012745337,125.42202379415228,162.4269160036974,-16.344094012745337,162.4269160036974,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,10245.296875,True,5.998258551194624,8.000443293569015,DISTRIBUTION,0.07944700121879578,True,-0.0892836646685824,20.929447549513736,False,False,False,DIFFERENT,EXPLOSIVE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,BNB-USD,2018-11-18,2019-02-25,89.547830211137,17.3128491609285,-3.2556086192204736,20.60281791897713,47.47404530460855,-3.2556086192204736,53.89013747737668,70.50723743127246,-3.2556086192204736,75.62827407259117,132.3653709489968,-3.2556086192204736,154.08958325783345,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,5623.5400390625,False,-10.858151889930156,-8.0114014044258,BEAR,7.999760150909424,False,-17.53614914902063,-4.586164923522995,False,False,False,DIFFERENT,EXPLOSIVE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,INJ-USD,2023-08-06,2023-11-13,88.45523653261793,2.5601271268488768,0.0,9.93381683156278,7.537923949847447,-7.655199822436154,10.696233140592826,89.18730984922156,-7.655199822436154,89.18730984922156,137.07095996840297,-7.655199822436154,179.4899780169307,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29041.85546875,True,4.865923037451059,15.310133351821008,BULL,7.890099048614502,True,18.53911949831515,45.51780183881464,False,False,False,DIFFERENT,EXPLOSIVE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,THETA-USD,2023-08-13,2023-11-20,88.06982025959977,-0.8856316911685536,-10.088810998779564,5.605981319343512,15.763812879187132,-10.088810998779564,15.763812879187132,12.605793836203684,-10.088810998779564,20.80256166652561,4.5878227160421,-10.088810998779564,47.42916997261111,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29282.9140625,True,7.686699789171025,14.68818399279912,BEAR,0.7359009981155396,False,-19.026226754268226,-3.0462150891071405,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,UNI-USD,2023-04-07,2023-07-15,88.00347908022742,0.354612637296281,-1.4184402286776754,100.70922527459255,295.74468963447447,-1.7730425454664744,315.95744483224325,-47.872339656983485,-48.226947134026034,315.95744483224325,-44.3262390852893,-53.900708048736746,315.95744483224325,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,27925.859375,True,64.70498790461929,4.647444961919045,RECOVERY,0.00011700000322889537,False,14.705887598008749,1.8537113724897747,False,True,False,SAME_ASSET_ONLY,HIGH_SPIKE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,True,2026-09-09 05:31:54
BTC-USD,LRC-USD,2019-11-18,2020-02-25,87.58229367375644,0.2049217834339201,-12.0608334411748,5.6094670920725065,13.994023973089398,-12.0608334411748,19.057854625286087,-31.730979271352226,-38.57492075606572,19.057854625286087,-23.497023345539425,-38.57492075606572,19.057854625286087,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,8309.2861328125,False,-22.799343105098647,14.808748762169333,BEAR,0.028947999700903893,False,-20.18748368195491,-19.337238610197083,False,False,False,DIFFERENT,BEARISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,ADA-USD,2023-08-14,2023-11-21,87.39964272214561,7.526671021119102,0.0,10.088360482180825,18.689675460333756,0.0,18.689675460333756,77.50807318804087,0.0,85.49538544383006,43.603026843038606,0.0,85.49538544383006,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BEAR,0.29061099886894226,False,-20.993123906051103,-0.5913092847301349,False,False,False,DIFFERENT,HIGH_SPIKE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,ETC-USD,2023-08-14,2023-11-21,86.96864107733784,3.777128955407427,0.0,7.063357756634314,11.613375229868115,0.0,11.613375229868115,13.759346814166108,0.0,22.612655076263355,36.000735073624,0.0,62.55872656164794,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BEAR,17.497169494628906,False,-4.2552032311414685,-0.9458858222808453,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,EGLD-USD,2023-08-14,2023-11-21,86.88795056464099,9.662738318781038,0.0,17.57990591075491,26.1321229814502,0.0,30.374273334473223,55.31641044180253,0.0,61.59761566070121,31.36321837743208,0.0,82.45440510862278,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BEAR,30.84471321105957,False,-17.756082174787522,-4.401292347996022,False,False,False,DIFFERENT,HIGH_SPIKE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,THETA-USD,2018-11-17,2019-02-24,86.85376481686468,48.19060880497565,0.0,63.51672262133772,109.84022630637034,0.0,109.84022630637034,25.986736968249712,0.0,109.84022630637034,6.956958168006322,0.0,109.84022630637034,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BEAR,5554.330078125,False,-14.62848957677818,-8.082162879375044,BEAR,0.06857799738645554,False,-18.192991802397195,-10.634457786835616,False,False,False,DIFFERENT,HIGH_SPIKE_60D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,XRP-USD,2023-08-14,2023-11-21,86.35366138558949,5.333686706092178,0.0,7.404798832185855,7.155510848858593,0.0,7.565007717792493,7.4850778392152595,0.0,15.965911097930952,-4.709352617272245,-6.2374467784480085,15.965911097930952,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29408.443359375,True,8.77251040525502,14.601874198329966,BULL,0.6342819929122925,True,43.69062112130009,15.992544445403368,False,False,False,DIFFERENT,MIXED,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
BTC-USD,ALGO-USD,2023-08-13,2023-11-20,86.15177404848649,-6.906719547571982,-12.145020299584584,0.0,7.876163064982666,-12.145020299584584,7.876163064982666,39.79594993091786,-12.145020299584584,52.49382721764597,22.02006222652797,-12.145020299584584,69.58060852039658,BTC_matches.csv,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,RECOVERY,2026-09-09,79122.84375,True,24.48321403571738,-5.561614712415331,BULL,29282.9140625,True,7.686699789171025,14.68818399279912,BEAR,0.11681900173425674,False,-30.03090671293912,-13.538739133465638,False,False,False,DIFFERENT,BULLISH_30D,SAME_ASSET_REGIME,0,5,0,5,5,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,5,5,True,False,2026-09-09 05:31:54
