target,group,matches,positive_30d_rate,return_30d_p50,return_30d_p75,return_30d_p90,drawdown_30d_p50,drawdown_30d_p10,max_gain_30d_p50,max_gain_30d_p75,max_gain_30d_p90,positive_60d_rate,return_60d_p50,return_60d_p75,return_60d_p90,drawdown_60d_p50,drawdown_60d_p10,max_gain_60d_p50,max_gain_60d_p75,max_gain_60d_p90,selected_regime_group,full_regime_matches,same_asset_regime_matches,same_btc_regime_matches,selected_sample_size,minimum_required,fallback_level,selection_reason,eligible_for_regime_adjusted_cone
BTC-USD,ALL_MATCHES,40,72.5,7.18922029780521,20.28162630175675,39.29125874745092,-12.915032211063215,-33.714429539269226,15.479585623407974,26.121555713582154,52.57211992523097,67.5,11.042897999513501,36.381521442556014,90.21665302228986,-13.185663249278312,-35.08377805523775,36.25112559028827,68.14397373726017,121.11373072487555,,,,,,,,,
BTC-USD,SAME_BTC_REGIME,4,75.0,33.9830011901983,38.29428857786073,38.84687683600393,-8.329624009862378,-27.50060551565838,43.88775331939233,60.87323859430211,85.86297939574537,75.0,60.8120990050755,95.28466194257668,110.48868870343725,-8.329624009862378,-27.55956896012938,106.63000983917446,115.06412834181305,122.85257581012202,,,,,,,,,
BTC-USD,SAME_ASSET_REGIME,2,100.0,16.575868997317365,23.277288138299728,27.298139622889146,-9.126611852605077,-13.638190386139442,56.760082716854434,79.64144465678098,93.37026182073691,100.0,21.629235339434693,28.207726470410226,32.154821148995545,-9.126611852605077,-13.638190386139442,67.71364425735945,85.1182254270335,95.56097412883791,,,,,,,,,
BTC-USD,SAME_BTC_AND_ASSET_REGIME,1,100.0,29.97870727928209,29.97870727928209,29.97870727928209,-3.487138685687119,-3.487138685687119,102.52280659670753,102.52280659670753,102.52280659670753,100.0,34.78621760138576,34.78621760138576,34.78621760138576,-3.487138685687119,-3.487138685687119,102.52280659670753,102.52280659670753,102.52280659670753,,,,,,,,,
BTC-USD,REGIME_ADJUSTED_CONE,0,,,,,,,,,,,,,,,,,,,NONE,1.0,2.0,4.0,0.0,5.0,NONE,INSUFFICIENT_REGIME_MATCHES,False
BTC-USD,HISTORICAL_BTC_BEAR,5,20.0,-24.867449479762428,-8.388561977662611,14.336274581364904,-33.20649544704379,-48.41427455815318,14.836924039798197,27.42356615291486,47.48026410689057,40.0,-22.4801545186181,14.99873465468311,27.36925530913128,-34.37178905122974,-51.26223057418524,27.42356615291486,29.584538398094672,48.344653004962495,,,,,,,,,
BTC-USD,HISTORICAL_BTC_BULL,30,80.0,7.18922029780521,13.996101065951184,40.01662959043046,-12.624348435129367,-21.991798789390252,15.045624933036315,22.72000535965588,49.06291853331649,70.0,10.727027310639226,33.01635410533999,64.5089554541957,-12.643927379647806,-21.991798789390252,36.25112559028827,51.59430774596232,97.36652568161689,,,,,,,,,
BTC-USD,HISTORICAL_BTC_DISTRIBUTION,1,100.0,18.479650991074134,18.479650991074134,18.479650991074134,-2.9595094082216944,-2.9595094082216944,24.825025496391092,24.825025496391092,24.825025496391092,100.0,151.2951998462226,151.2951998462226,151.2951998462226,-2.9595094082216944,-2.9595094082216944,193.70191423986464,193.70191423986464,193.70191423986464,,,,,,,,,
BTC-USD,HISTORICAL_BTC_RECOVERY,4,75.0,33.9830011901983,38.29428857786073,38.84687683600393,-8.329624009862378,-27.50060551565838,43.88775331939233,60.87323859430211,85.86297939574537,75.0,60.8120990050755,95.28466194257668,110.48868870343725,-8.329624009862378,-27.55956896012938,106.63000983917446,115.06412834181305,122.85257581012202,,,,,,,,,
BTC-USD,HISTORICAL_ASSET_BEAR,28,75.0,7.18922029780521,26.637205580532587,39.44323822615395,-13.185663249278312,-33.556083528299574,16.03258284983996,30.764038959340567,54.41195906989246,64.28571428571429,10.727027310639226,34.216441613573394,48.11139006122194,-13.185663249278312,-36.50775606325379,31.458694918710982,54.9251370464859,88.4802750462565,,,,,,,,,
BTC-USD,HISTORICAL_ASSET_BULL,7,71.42857142857143,10.928083635873076,14.93021104583061,25.931601830032143,-12.558424171858915,-42.969940001889334,10.928083635873076,21.74241947623372,31.332577704262988,71.42857142857143,28.073198302093022,108.82595391612799,377.42708127864285,-12.558424171858915,-42.969940001889334,42.30048403093028,119.16746142986585,611.774011321083,,,,,,,,,
BTC-USD,HISTORICAL_ASSET_DISTRIBUTION,1,100.0,18.479650991074134,18.479650991074134,18.479650991074134,-2.9595094082216944,-2.9595094082216944,24.825025496391092,24.825025496391092,24.825025496391092,100.0,151.2951998462226,151.2951998462226,151.2951998462226,-2.9595094082216944,-2.9595094082216944,193.70191423986464,193.70191423986464,193.70191423986464,,,,,,,,,
BTC-USD,HISTORICAL_ASSET_MIXED,2,0.0,-20.222620347517754,-14.132288479129041,-10.478089358095815,-25.683165364693977,-32.04974474773547,3.292489838039614,4.938734757059421,5.9264817084713055,50.0,5.980455585465705,14.244669873285105,19.203198445976746,-25.725282110744693,-32.12555489062675,22.033928216024613,33.05089232403692,39.661070788844306,,,,,,,,,
BTC-USD,HISTORICAL_ASSET_RECOVERY,2,100.0,16.575868997317365,23.277288138299728,27.298139622889146,-9.126611852605077,-13.638190386139442,56.760082716854434,79.64144465678098,93.37026182073691,100.0,21.629235339434693,28.207726470410226,32.154821148995545,-9.126611852605077,-13.638190386139442,67.71364425735945,85.1182254270335,95.56097412883791,,,,,,,,,
DOGE-USD,ALL_MATCHES,40,27.500000000000004,-7.542550667524368,2.2661577749856887,42.815706757576315,-10.59145021507274,-29.857283035727562,17.42988040584589,33.165076927528624,58.40174565689257,32.5,-8.750894511841539,21.49984303302693,84.05711373208813,-24.33641320905433,-40.07366718197733,22.069572933056534,42.853490425859675,128.76884130534626,,,,,,,,,
DOGE-USD,SAME_BTC_REGIME,1,0.0,-16.457238548302268,-16.457238548302268,-16.457238548302268,-18.643990527431487,-18.643990527431487,9.172387121172342,9.172387121172342,9.172387121172342,0.0,-21.12785078514036,-21.12785078514036,-21.12785078514036,-24.98215655034133,-24.98215655034133,9.172387121172342,9.172387121172342,9.172387121172342,,,,,,,,,
DOGE-USD,SAME_ASSET_REGIME,13,15.384615384615385,-9.85731872790674,-1.5013822790750586,26.377310064445133,-14.086591097491164,-28.028428743180203,9.172387121172342,16.977643406019773,41.54599625046865,23.076923076923077,-23.01093564013258,-10.385903078325596,36.91356586815441,-29.77240313067395,-41.11371911912093,9.172387121172342,30.738170377062637,45.85589525592969,,,,,,,,,
DOGE-USD,SAME_BTC_AND_ASSET_REGIME,1,0.0,-16.457238548302268,-16.457238548302268,-16.457238548302268,-18.643990527431487,-18.643990527431487,9.172387121172342,9.172387121172342,9.172387121172342,0.0,-21.12785078514036,-21.12785078514036,-21.12785078514036,-24.98215655034133,-24.98215655034133,9.172387121172342,9.172387121172342,9.172387121172342,,,,,,,,,
DOGE-USD,REGIME_ADJUSTED_CONE,13,15.384615384615385,-9.85731872790674,-1.5013822790750586,26.377310064445133,-14.086591097491164,-28.028428743180203,9.172387121172342,16.977643406019773,41.54599625046865,23.076923076923077,-23.01093564013258,-10.385903078325596,36.91356586815441,-29.77240313067395,-41.11371911912093,9.172387121172342,30.738170377062637,45.85589525592969,SAME_ASSET_REGIME,1.0,13.0,1.0,13.0,5.0,1_SAME_ASSET_FALLBACK,FALLBACK_TO_SAME_ASSET_REGIME,True
DOGE-USD,HISTORICAL_BTC_BEAR,11,18.181818181818183,-9.85731872790674,-2.2958669435961196,33.01972885783928,-14.086591097491164,-31.494006213668168,5.873060823091469,17.875845060387576,47.23898363439694,18.181818181818183,-28.13837825894452,-12.336378608554003,23.27366237252928,-30.98053547495496,-41.41087681544767,5.873060823091469,24.756108545909008,47.23898363439694,,,,,,,,,
DOGE-USD,HISTORICAL_BTC_BULL,26,34.61538461538461,-3.8704952312137886,4.753921713989068,52.0250053200558,-8.304814771826118,-25.191049132781092,23.202699807538206,41.133590438326934,69.46076957726845,42.30769230769231,-3.8812691807111728,36.43551591336764,118.18202899693947,-22.11858720168962,-36.36170388675086,29.864044417065315,43.98720328295035,155.2281051027296,,,,,,,,,
DOGE-USD,HISTORICAL_BTC_DISTRIBUTION,2,0.0,-25.910440244183256,-24.23025494880952,-23.22214377158528,-33.221143166341946,-36.05771777553929,5.905401017596478,8.858101526394718,10.629721831673661,0.0,-12.457384694124512,-7.095992124715835,-3.879156583070629,-35.15041897749929,-37.506251237611465,5.905401017596478,8.858101526394718,10.629721831673661,,,,,,,,,
DOGE-USD,HISTORICAL_BTC_RECOVERY,1,0.0,-16.457238548302268,-16.457238548302268,-16.457238548302268,-18.643990527431487,-18.643990527431487,9.172387121172342,9.172387121172342,9.172387121172342,0.0,-21.12785078514036,-21.12785078514036,-21.12785078514036,-24.98215655034133,-24.98215655034133,9.172387121172342,9.172387121172342,9.172387121172342,,,,,,,,,
DOGE-USD,HISTORICAL_ASSET_BEAR,13,15.384615384615385,-9.85731872790674,-1.5013822790750586,26.377310064445133,-14.086591097491164,-28.028428743180203,9.172387121172342,16.977643406019773,41.54599625046865,23.076923076923077,-23.01093564013258,-10.385903078325596,36.91356586815441,-29.77240313067395,-41.11371911912093,9.172387121172342,30.738170377062637,45.85589525592969,,,,,,,,,
DOGE-USD,HISTORICAL_ASSET_BULL,25,32.0,-5.116826268816032,4.2222330146652665,48.52148167805945,-8.923984346960612,-30.76657369013901,22.16717430031516,36.57168506428281,72.22552555736246,36.0,-3.9947040334530337,20.90856991985948,103.08714931029093,-23.53796869159005,-38.92759391257979,25.95995461785048,43.45128501441378,145.51458875553868,,,,,,,,,
DOGE-USD,HISTORICAL_ASSET_DISTRIBUTION,1,100.0,125.2783387922508,125.2783387922508,125.2783387922508,0.0,0.0,128.28683468003788,128.28683468003788,128.28683468003788,100.0,81.08633598697779,81.08633598697779,81.08633598697779,0.0,0.0,149.45608610873097,149.45608610873097,149.45608610873097,,,,,,,,,
DOGE-USD,HISTORICAL_ASSET_RECOVERY,1,0.0,-8.06135572986937,-8.06135572986937,-8.06135572986937,-15.42488223457308,-15.42488223457308,6.214133635555719,6.214133635555719,6.214133635555719,0.0,-5.3519019174007365,-5.3519019174007365,-5.3519019174007365,-15.42488223457308,-15.42488223457308,14.015603919067644,14.015603919067644,14.015603919067644,,,,,,,,,
SOL-USD,ALL_MATCHES,40,67.5,6.71393186042013,41.412893181458145,102.1974188125844,-12.59416192153287,-38.269294547135,25.7402515823563,52.07321539271113,113.78983941520328,67.5,23.690872568359985,74.76088529128086,133.4235523674311,-12.901004502622232,-50.52407133460155,50.23889812201267,99.22773108863002,174.32426410669336,,,,,,,,,
SOL-USD,SAME_BTC_REGIME,3,100.0,39.2152690080994,74.14438915334091,95.10186124048583,-13.17210933403764,-19.15616320654002,46.99004926016697,86.32754181394107,109.93003734620552,100.0,120.62470654401096,131.29973790247394,137.70475671755173,-13.17210933403764,-19.15616320654002,128.044874122328,137.2302892277645,142.74153829102642,,,,,,,,,
SOL-USD,SAME_ASSET_REGIME,2,100.0,19.061468894764708,27.005687984470743,31.772219438294364,-17.709130847094322,-20.063567509151355,22.973632955589064,28.961770014882923,32.554652250459235,100.0,39.88030162039331,55.58432589184815,65.00674045472105,-17.709130847094322,-20.063567509151355,52.09641604065719,61.69238310198009,67.44996333877383,,,,,,,,,
SOL-USD,SAME_BTC_AND_ASSET_REGIME,1,100.0,34.94990707417678,34.94990707417678,34.94990707417678,-20.65217667466561,-20.65217667466561,34.94990707417678,34.94990707417678,34.94990707417678,100.0,71.288350163303,71.288350163303,71.288350163303,-20.65217667466561,-20.65217667466561,71.288350163303,71.288350163303,71.288350163303,,,,,,,,,
SOL-USD,REGIME_ADJUSTED_CONE,0,,,,,,,,,,,,,,,,,,,NONE,1.0,2.0,3.0,0.0,5.0,NONE,INSUFFICIENT_REGIME_MATCHES,False
SOL-USD,HISTORICAL_BTC_BEAR,15,53.333333333333336,0.8640812827212629,25.02686989342007,77.95657849999141,-12.941871191444044,-49.15599664991374,28.92406072868976,43.252131443044846,92.87379964058127,60.0,5.361332128982332,40.280790082809176,95.5295050101245,-13.23647356372415,-52.038433676638846,37.8972817867723,69.65027892897072,130.68523358349876,,,,,,,,,
SOL-USD,HISTORICAL_BTC_BULL,20,80.0,9.747151614972328,45.97822411712688,112.30849768752118,-10.833155624281021,-22.248726126803362,22.039542564673113,61.293737643878416,117.91874324648246,75.0,31.384871681462833,94.46785285808156,353.8666267191669,-12.098122514031129,-35.66275404960381,60.46339480903583,120.23313144319675,432.0119605531038,,,,,,,,,
