asset,name,event_date,age_reference_date,age_years,close,ema20,ema50,ema100,ema200,price_to_ema200_pct,upside_to_ema200_pct,ema50_ema200_gap_pct,ema50_slope_4w_pct,ema200_slope_8w_pct,rsi14,rsi_4w_change,gain_from_26w_low_pct,cross_state,weeks_since_death_cross,hit_ema200_4w,hit_ema200_8w,hit_ema200_12w,hit_ema200_16w,weeks_to_ema200,max_gain_4w_pct,max_gain_8w_pct,max_gain_12w_pct,max_gain_16w_pct,drawdown_4w_pct,drawdown_8w_pct,drawdown_12w_pct,drawdown_16w_pct,return_4w_pct,return_8w_pct,return_12w_pct,return_16w_pct,similarity_to_sol
MKR-USD,Maker,2022-10-24,2017-11-25,4.91170431211499,909.8133544921875,990.209057620593,1393.9135216337206,1565.19287109877,1394.9153813959738,-34.77644833325417,53.3188510048356,-0.07182226073458864,-5.04051769781938,-3.1890984251967347,43.15759586818706,6.249251830669181,55.137951738200954,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IN CORSO,0,False,False,False,False,48,1.2962501564766082,1.2962501564766082,1.2962501564766082,1.2962501564766082,-32.148793718019576,-42.27956857673445,-44.63433850011358,-44.63433850011358,-29.64237063024414,-40.61493258390936,-21.999872269474917,-18.952439297476744,90.16375346288063
ETC-USD,Ethereum Classic,2023-05-29,2016-07-20,6.855578370978781,18.218000411987305,19.955753430426995,22.962725568297113,25.28809637186412,23.878631735775528,-23.70584456607424,31.071639015133478,-3.8356727370864485,-3.465695446777184,-1.6367740501873063,42.38395587038842,-0.6527369353796075,22.376341999546568,DEATH CROSS CONFERMATO DA POCO,6,False,False,False,False,30,26.829091075842815,26.829091075842815,26.829091075842815,26.829091075842815,-26.318253958366032,-26.318253958366032,-26.318253958366032,-26.318253958366032,11.871753055207467,3.5735198705875826,-12.131911717546572,-17.21237621943157,86.31798232452023
LINK-USD,Chainlink,2022-10-03,2017-09-20,5.034907597535934,7.62626314163208,8.335439036712344,12.370598682146683,14.327014705577819,12.33378449509911,-38.16769585472801,61.727759271358984,0.29848248980028913,-6.356778261185559,-3.2642188719901433,43.117410243525605,-0.109620054630156,42.21244129994284,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IMMINENTE,,False,False,False,False,,17.37057328467253,22.87180619695597,22.87180619695597,22.87180619695597,-15.206647628435999,-26.837208746865038,-29.01151366313911,-29.01151366313911,6.487919135310105,-2.353040776173576,-26.275253099193897,-3.1279400739040786,85.58840053157314
MKR-USD,Maker,2025-03-31,2017-11-25,7.345653661875428,1146.754150390625,1363.4971245339798,1602.822515692643,1644.9506342406858,1546.2739155530892,-25.837580337087907,34.839181966454944,3.657088150473453,-4.084535531084987,-1.5112314986821307,42.90348856159067,-0.4392079949412704,37.00214963438715,EMA50 SOPRA EMA200 MA IN AVVICINAMENTO,,True,True,True,True,3,37.114552474343235,70.84475437530138,99.36454475682362,105.02381786227902,-8.475273599376642,-8.475273599376642,-8.475273599376642,-8.475273599376642,33.08336730816108,39.770230812383375,77.27461915371276,102.26354318244964,85.48871271125866
THETA-USD,Theta,2025-02-03,2018-01-17,7.047227926078029,1.2804160118103027,1.8600735544911013,1.7176672755453,1.6823522240681223,1.7687720810084648,-27.60989244695258,38.14042191706937,-2.8892815536769145,-0.3887772410033463,0.9324159127983345,41.397769292281815,-12.251781290366338,27.860417749192166,EMA50 SOTTO EMA200 / CROSS GIÀ AVVENUTO,,False,False,False,False,,14.289890575359188,14.289890575359188,14.289890575359188,14.289890575359188,-30.746571891314968,-46.62640719015562,-52.78378233944467,-52.78378233944467,-29.94886000326974,-45.44781037133918,-46.7098219256696,-40.137891507868794,85.08177238740058
ETC-USD,Ethereum Classic,2025-05-26,2016-07-20,8.848733744010952,17.090087890625,19.014192608555014,21.051954536508134,22.188905180616818,22.608749508459812,-24.409406702346903,32.29159295817401,-6.885807511685471,-2.069546968823466,-1.9270665461085912,43.50032507911954,3.88223303888919,32.71886561355159,DEATH CROSS CONFERMATO DA POCO,10,False,True,True,True,7,9.434150940700835,50.27569918644019,50.27569918644019,50.27569918644019,-15.112791915472634,-15.112791915472634,-15.112791915472634,-15.112791915472634,-0.6950235532349525,36.345909344152226,36.0344852216397,16.522364412651246,84.58053845738267
ETC-USD,Ethereum Classic,2024-08-26,2016-07-20,8.101300479123887,17.63356590270996,22.73784455047227,23.474253197421117,23.676421378539786,23.296486823797657,-24.30804680516442,32.11443988318556,0.7630608639319414,-3.419167749657537,-1.0460319592000555,38.7020267726306,-0.669988679934562,11.528871201493818,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IMMINENTE,71,False,False,True,True,10,19.323775587564707,19.323775587564707,76.98071847397104,126.3619073826074,-4.658906203708424,-4.658906203708424,-4.658906203708424,-4.658906203708424,15.973210361807011,4.322726920205122,63.65877067197025,47.17181606147365,84.4610388681879
XRP-USD,XRP,2022-08-01,2012-06-01,10.165639972621491,0.3725059926509857,0.4709365666541983,0.6205644825927852,0.6310161728920952,0.5565404480553826,-33.067579552831205,49.404428126026254,11.50393197136166,-6.6834585235261645,-3.0145410779227833,35.518605783374525,5.472576372098274,28.1943994454275,EMA50 ANCORA SOPRA EMA200,,False,False,False,False,34,4.945961858281311,48.261504491437755,48.261504491437755,48.261504491437755,-14.258561749458586,-15.185795089568344,-15.185795089568344,-15.185795089568344,-10.927875779838224,20.49470739270516,23.073186845874538,6.52741165513675,82.67901878224616
LTC-USD,Litecoin,2020-06-22,2011-10-13,8.692676249144421,41.408267974853516,46.77687937880379,55.16283133576905,61.91073672168301,58.32627609186123,-29.00580878909983,40.856594454232464,-5.423704320004763,-3.472243528838914,-2.0513709888116294,42.214214615071086,-3.3313489162096346,61.92115976584154,DEATH CROSS CONFERMATO DA POCO,8,False,True,True,True,5,21.663633175306817,65.4730307310163,65.4730307310163,65.4730307310163,-1.8155991623713064,-1.8155991623713064,-1.8155991623713064,-1.8155991623713064,15.867482873448546,46.403758145262856,13.746676740124242,15.000088899706299,82.66164051027599
XRP-USD,XRP,2022-11-21,2012-06-01,10.472279260780287,0.396820992231369,0.42618851125317225,0.522065236389827,0.5706634148684098,0.534833088493733,-25.8047041650044,34.779434295122954,-2.3872591989146486,-4.160515778584473,-1.4954538891989277,45.26727323886438,-3.8373597320544306,36.5621756160609,DEATH CROSS RECENTE / APPENA CONFERMATO,2,False,False,False,False,18,3.526273886127651,4.803177264193903,8.642689433194771,8.642689433194771,-15.753704646520571,-18.94884327969525,-18.94884327969525,-18.94884327969525,-12.708245666593786,1.0448060371744727,-2.6470317202953675,-2.105736621038534,82.14124409010535
