target,similar_asset,start_date,end_date,similarity,return_7d,drawdown_7d,max_gain_7d,return_14d,drawdown_14d,max_gain_14d,return_30d,drawdown_30d,max_gain_30d,return_60d,drawdown_60d,max_gain_60d
SOL-USD,WAVES-USD,2019-02-21,2019-05-31,82.26012117182051,-10.00912474068415,-12.709322264376299,0.49429214027567614,-9.643737953767195,-13.146215823179508,0.49429214027567614,-30.844931670955845,-30.844931670955845,0.49429214027567614,-48.13969112360138,-48.67308994012007,0.49429214027567614
SOL-USD,QTUM-USD,2018-09-19,2018-12-27,79.40962381144656,3.834217713656307,0.0,11.259157766954008,0.8411362098535324,0.0,15.248651964792014,-2.2128444231220734,-3.681368653704442,15.248651964792014,-0.5110964192008849,-17.598331190794305,15.248651964792014
SOL-USD,TRX-USD,2018-09-19,2018-12-27,79.03249839393914,8.65426803976639,0.0,12.873217916092106,39.80419858852839,0.0,53.710525708644916,55.014065046900114,0.0,55.014065046900114,32.24795225389845,0.0,58.383822793204175
SOL-USD,ALGO-USD,2024-04-14,2024-07-22,78.37320331768886,-8.041429331873074,-9.202404188185065,0.0,-27.025413344982308,-27.025413344982308,0.0,-10.792295385443273,-27.407992873323263,0.0,-12.069763237430198,-27.407992873323263,0.0
SOL-USD,LRC-USD,2018-09-19,2018-12-27,78.25338084569326,10.894861661815902,0.0,15.696213959622618,5.224924072564763,0.0,26.923497522614937,95.68924114908961,0.0,178.55075795608965,42.9735751253423,0.0,178.55075795608965
SOL-USD,XLM-USD,2020-01-07,2020-04-15,78.07532448424729,18.10640079031478,0.0,18.10640079031478,55.89649265308918,0.0,55.89649265308918,45.243377634018024,0.0,62.57623223194491,53.87963914395624,0.0,78.05166730201051
SOL-USD,DASH-USD,2024-04-15,2024-07-23,77.77109402509846,-0.8478190456207568,-3.035941263857256,1.6415969729492996,-15.433403942361801,-16.655389218692605,1.6415969729492996,-1.2067936296073722,-16.655389218692605,1.6415969729492996,-3.8781137930585574,-16.655389218692605,1.9493213282879562
SOL-USD,NEAR-USD,2025-12-01,2026-03-10,77.67888763093676,13.166349972805747,0.0,16.073527197141413,0.5736141927871863,-0.7870924086875286,16.073527197141413,6.358360411540476,-9.608302337072573,16.073527197141413,21.893090243173717,-9.608302337072573,24.081239635030528
SOL-USD,APT-USD,2024-09-01,2024-12-09,77.65827551094011,2.75229449658585,-0.4587190870261937,6.42202049203362,-11.467890398179115,-11.467890398179115,6.42202049203362,0.9174314988619425,-11.467890398179115,6.42202049203362,-34.403671194537345,-34.403671194537345,6.42202049203362
SOL-USD,NEO-USD,2023-06-15,2023-09-22,77.59717921592727,-3.2080362094778048,-5.389095282555023,0.0,-5.9000962802843615,-7.205511702354405,0.2242959374644915,-5.342001050684441,-13.03777771509994,0.2242959374644915,33.68976365379377,-13.03777771509994,80.73813879600458
SOL-USD,ENJ-USD,2018-09-19,2018-12-27,77.22600893753797,-4.239767207617085,-7.583847681737965,5.113316151108238,-18.100837954310535,-18.100837954310535,5.113316151108238,-16.112598575041336,-19.3730137864806,5.113316151108238,93.15928538663856,-38.09394819738805,93.15928538663856
SOL-USD,NEAR-USD,2024-04-15,2024-07-23,77.22091592678024,-10.676910210788126,-10.676910210788126,0.0,-36.36469734754099,-38.828212181181755,0.0,-25.434831141293245,-38.828212181181755,0.0,-18.984808671652885,-38.828212181181755,0.0
SOL-USD,BNB-USD,2025-12-06,2026-03-15,76.85290784453626,-6.991208488555811,-6.991208488555811,0.8391889051560408,-10.097201284299938,-10.097201284299938,0.8391889051560408,-8.856143186397436,-13.4428044414165,0.8391889051560408,0.6291493324829256,-13.4428044414165,0.8391889051560408
