prediction_date,created_at_utc,asset,ticker,start_price,global_confluence_score,global_confluence_label,global_bias,global_action,scanner_score,market_regime_score,technical_component_score,fractal_score,rsi_top_cycle_score,futures_score,daily_change_score,confirmation,invalidation,technical_raw_score,technical_verdict,technical_trend,technical_structure,technical_support,technical_resistance,market_group,market_matches,market_positive_30d,market_return_30d_p50,market_positive_60d,market_return_60d_p50,fractal_similarity,fractal_tracking,fractal_phase,fractal_risk,checked_1d,end_price_1d,return_1d,drawdown_1d,max_gain_1d,direction_correct_global_1d,direction_correct_scanner_1d,direction_correct_market_1d,direction_correct_technical_1d,direction_correct_fractal_1d,checked_3d,end_price_3d,return_3d,drawdown_3d,max_gain_3d,direction_correct_global_3d,direction_correct_scanner_3d,direction_correct_market_3d,direction_correct_technical_3d,direction_correct_fractal_3d,checked_7d,end_price_7d,return_7d,drawdown_7d,max_gain_7d,direction_correct_global_7d,direction_correct_scanner_7d,direction_correct_market_7d,direction_correct_technical_7d,direction_correct_fractal_7d,checked_14d,end_price_14d,return_14d,drawdown_14d,max_gain_14d,direction_correct_global_14d,direction_correct_scanner_14d,direction_correct_market_14d,direction_correct_technical_14d,direction_correct_fractal_14d,checked_30d,end_price_30d,return_30d,drawdown_30d,max_gain_30d,direction_correct_global_30d,direction_correct_scanner_30d,direction_correct_market_30d,direction_correct_technical_30d,direction_correct_fractal_30d,checked_60d,end_price_60d,return_60d,drawdown_60d,max_gain_60d,direction_correct_global_60d,direction_correct_scanner_60d,direction_correct_market_60d,direction_correct_technical_60d,direction_correct_fractal_60d
2026-07-08,2026-07-08 10:50:21 UTC,BTC,BTC-USD,62116.1796875,4.0,MODERATAMENTE POSITIVA,Costruttivo prudente,ACCUMULA SU PULLBACK / NO SHORT,2.0,3.0,-2.0,0.0,0.0,0.0,1.0,Sopra 65.544 migliora; sopra la neckline tecnica successiva il recupero diventa più credibile.,Sotto 57.748 il quadro tecnico peggiora.,-3.0,DEBOLE,BEARISH_TREND,LH_LL_DOWNSTRUCTURE,57747.765625,65544.0,SAME_BTC_AND_ASSET_REGIME,15.0,80.0,22.02044963415213,86.66666666666667,30.28278718200397,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
2026-07-08,2026-07-08 10:50:21 UTC,SOL,SOL-USD,77.27999877929688,5.0,MODERATAMENTE POSITIVA,Costruttivo prudente,"HOLD / TRANCHE PICCOLE, NO LEVA",-1.0,2.0,1.0,2.0,1.0,0.0,0.0,"Conferme sopra 83,81 / 104,74 / 114,18.","Allarmi sotto 73,38 / 64,42 / 62,19.",1.0,NEUTRALE_MISTO,MIXED_TREND,EXPANDING_VOLATILITY,64.41836547851562,83.80886840820312,SAME_BTC_AND_ASSET_REGIME,21.0,61.90476190476191,0.894385023158617,61.90476190476191,4.186090690689803,73.96,FRATTALE STABILE,FASE ANTICIPATA,MEDIO / ALTO,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
2026-07-08,2026-07-08 10:50:21 UTC,DOGE,DOGE-USD,0.07158999890089035,-9.0,NEGATIVA,Ribassista,STAI FUORI / VENDI PARZIALE; SHORT SOLO DOPO SPIKE,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,"Sopra 0.07923 migliora, ma resta asset debole finché scanner e struttura non girano.",Sotto 0.06961 il rischio ribassista aumenta.,-10.0,BEARISH_TECNICO,BEARISH_TREND,LH_LL_DOWNSTRUCTURE,0.0696109980344772,0.0792339965701103,SAME_BTC_AND_ASSET_REGIME,31.0,16.129032258064516,-23.4012304891304,48.38709677419355,-2.157089413827862,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
