metric,percentile,percent_value,price_level
return_30d,10,-17.029387896032503,52424.83865215231
return_30d,25,-8.465745282937656,57835.76151847555
return_30d,50,-2.1449295020436523,61829.558105731296
return_30d,75,8.5514783788338,68588.06504081268
return_30d,90,22.314421123795608,77284.15675915894
drawdown_30d,10,-32.18058401447183,42851.581425834745
drawdown_30d,25,-15.573491507525135,53344.74428290877
drawdown_30d,50,-5.28252437356514,59847.07417890163
drawdown_30d,75,-3.1396286230147785,61201.05917578481
drawdown_30d,90,-1.871676061429632,62002.21282252892
max_gain_30d,10,0.0,63184.828125
max_gain_30d,25,5.262072791266437,66509.6597739741
max_gain_30d,50,13.475227990588724,71699.12777030536
max_gain_30d,75,25.03010558152295,79000.0573161913
max_gain_30d,90,39.50676343972203,88147.1087021387
