asset,horizon_days,controls,accuracy_pct,directional_return_pct,median_future_return_pct
SOL,7,202,51.98019801980198,1.9638428621311415,-1.3378159230845732
SOL,30,201,47.76119402985074,4.7343123656726345,0.3601468006994235
SOL,90,196,53.57142857142857,10.262569267830948,2.019997839757881
DOGE,7,292,55.821917808219176,1.853565886599818,-1.728673891145882
DOGE,30,288,52.77777777777778,2.011609353477433,-3.7121031252181913
DOGE,90,285,54.03508771929825,6.942384390053798,-8.46820291837681
