generated_utc,asset,ticker,date,price,price_source,snapshot_candle_date,image,primary_pattern,pattern_family,pattern_direction,pattern_state,pattern_score,pattern_confidence,pattern_neckline,pattern_anchor,pattern_target,pattern_target_progress_pct,pattern_distance_to_neckline_pct,pattern_invalidation_level,pattern_current_relation,pattern_start_date,pattern_end_date,pattern_formation_age_days,pattern_breakout_date,pattern_breakout_age_days,pattern_target_reached,pattern_invalidated,patterns_count,technical_lifecycle_source,fib_state,fib_score,fib_nearest_ratio,fib_nearest_level,fib_confluence,fib_details,latest_candle,latest_candle_score,support,resistance,breakout_level,breakdown_level,price_state,breakout,breakdown,rsi14,atr14_pct,vol_ratio,ret_30d,ret_90d,ma20,ma50,ma200,pattern_detail
2026-09-10T05:32:51.073700+00:00,BTC,BTC-USD,2026-09-10,78456.640625,Yahoo Finance daily shared snapshot; snapshot 2026-09-10T05:30:23Z,2026-09-10,classic_visual_BTC.png,Doppio massimo,ribassista,BEARISH,CANDIDATO,0,TECHNICAL STRUCTURE,62226.578125,,58945.5625,,26.082203118090863,63471.1096875,sopra neckline,2026-07-15,2026-08-09,32.0,,,False,False,3,technical_structure_metrics.csv,IN_AVVICINAMENTO,0,0.236,76476.80184375,supporto tecnico,Swing UP 2026-07-01 57.748 -> 2026-09-03 82.262; livello più vicino 23.6% a 76.477; stato IN AVVICINAMENTO; confluenza: supporto tecnico.,Hammer / rejection basso,1,76248.3046875,79468.0,82262.2109375,61492.6484375,NEL RANGE,False,False,60.13596402776669,2.752314994277862,0.858471009841746,22.760008336842663,23.43508302487212,78705.66953125,70197.52375,69918.8386328125,Due massimi simili vicino a 65.508 tra 2026-07-15 e 2026-08-09. Neckline ribassista stimata: 62.227. Stato: CANDIDATO; la neckline non è ancora stata rotta con un margine di almeno 0.50%. Età della formazione: 32 giorni. Fonte lifecycle: technical_structure_metrics.csv.
2026-09-10T05:32:51.073700+00:00,SOL,SOL-USD,2026-09-10,102.0199966430664,Yahoo Finance daily shared snapshot; snapshot 2026-09-10T05:30:23Z,2026-09-10,classic_visual_SOL.png,Doppio massimo,ribassista,BEARISH,CANDIDATO,0,TECHNICAL STRUCTURE,70.6942138671875,,62.51108551025391,,44.3116643672286,72.10809814453125,sopra neckline,2026-07-15,2026-08-09,32.0,,,False,False,3,technical_structure_metrics.csv,TENUTO,1,0.236,98.32767071533203,supporto tecnico,"Swing UP 2026-06-06 60,41 -> 2026-08-27 110,04; livello più vicino 23.6% a 98,33; stato TENUTO; confluenza: supporto tecnico.",Hammer / rejection basso,1,97.4508819580078,110.03900146484376,110.03900146484376,70.6942138671875,NEL RANGE,False,False,59.463431064675504,4.518857710355744,0.7006577662948421,34.33368929376179,52.674249705485884,101.46743927001953,85.93122482299805,82.7227128982544,"Due massimi simili vicino a 78,88 tra 2026-07-15 e 2026-08-09. Neckline ribassista stimata: 70,69. Stato: CANDIDATO; la neckline non è ancora stata rotta con un margine di almeno 0.50%. Età della formazione: 32 giorni. Fonte lifecycle: technical_structure_metrics.csv."
2026-09-10T05:32:51.073700+00:00,DOGE,DOGE-USD,2026-09-10,0.0859299972653389,Yahoo Finance daily shared snapshot; snapshot 2026-09-10T05:30:23Z,2026-09-10,classic_visual_DOGE.png,Doppio massimo,ribassista,BEARISH,CANDIDATO,0,TECHNICAL STRUCTURE,0.0679730027914047,,0.0621420070528984,,26.417833163911443,0.0693324628472328,sopra neckline,2026-07-26,2026-08-11,30.0,,,False,False,3,technical_structure_metrics.csv,TENUTO,0,0.382,0.0841868493556976,nessuna confluenza indipendente,Swing UP 2026-08-01 0.06797 -> 2026-09-05 0.09421; livello più vicino 38.2% a 0.08419; stato TENUTO; confluenza: nessuna confluenza indipendente.,Nessuna candela forte,0,0.0815730020403862,0.0916939973831176,0.0999789983034133,0.0679730027914047,NEL RANGE,False,False,53.86296337413281,4.988079083052009,0.9455242847891692,23.306735062728755,-0.0523425500995711,0.0873924504965543,0.0774004602432251,0.0882811952009797,Due massimi simili vicino a 0.07380 tra 2026-07-26 e 2026-08-11. Neckline ribassista stimata: 0.06797. Stato: CANDIDATO; la neckline non è ancora stata rotta con un margine di almeno 0.50%. Età della formazione: 30 giorni. Fonte lifecycle: technical_structure_metrics.csv.
