metric,percentile,percent_value,price_level
return_30d,10,-20.945777518907168,61.44094267732271
return_30d,25,-11.23038779927489,68.99174368601699
return_30d,50,-1.6983503519222065,76.40004330645738
return_30d,75,9.046221207224264,84.75072445338533
return_30d,90,43.74992929670614,111.72244680415989
drawdown_30d,10,-30.975592512847367,53.64577034159813
drawdown_30d,25,-25.301100217679796,58.05598582267107
drawdown_30d,50,-11.983945751344393,68.40607843646985
drawdown_30d,75,-2.7610264902783315,75.57413139875487
drawdown_30d,90,0.0,77.72000122070312
max_gain_30d,10,0.0,77.72000122070312
max_gain_30d,25,0.42679308957288,78.05170481512904
max_gain_30d,50,7.788510750585276,83.77323187113261
max_gain_30d,75,22.562966910159254,95.25593937870573
max_gain_30d,90,55.770281765404604,121.06466488956517
