date_local,generated_at,cohort_sha256,spot_sol,canonical_cohort_count,distinct_assets,raw_episode_count,h90_p10,h90_p25,h90_p50,h90_p75,h90_p90,h90_p_ge_150,h90_p_ge_200,h90_p_ge_250,h90_p_ge_300,h90_p_ge_400,h90_p_ge_500,h90_p_ge_600,h90_p_ge_800,h90_p_ge_1000,h90_distinct_assets,h90_raw_episode_count,h180_p10,h180_p25,h180_p50,h180_p75,h180_p90,h180_p_ge_150,h180_p_ge_200,h180_p_ge_250,h180_p_ge_300,h180_p_ge_400,h180_p_ge_500,h180_p_ge_600,h180_p_ge_800,h180_p_ge_1000,h180_distinct_assets,h180_raw_episode_count,h365_p10,h365_p25,h365_p50,h365_p75,h365_p90,h365_p_ge_150,h365_p_ge_200,h365_p_ge_250,h365_p_ge_300,h365_p_ge_400,h365_p_ge_500,h365_p_ge_600,h365_p_ge_800,h365_p_ge_1000,h365_distinct_assets,h365_raw_episode_count,h730_p10,h730_p25,h730_p50,h730_p75,h730_p90,h730_p_ge_150,h730_p_ge_200,h730_p_ge_250,h730_p_ge_300,h730_p_ge_400,h730_p_ge_500,h730_p_ge_600,h730_p_ge_800,h730_p_ge_1000,h730_distinct_assets,h730_raw_episode_count,h365_stability,source_kind
2026-09-03,2026-09-03T17:03:34.597672Z,74f21845f0a8a142103bf11de56501a7cd32a6bd5f50112c5511752ca087134b,104.47000122070312,40,28.0,40.0,73.38900942775426,103.22210995056545,137.4792252260173,232.51218062139526,261.03191979874657,39.285714285714285,32.142857142857146,17.857142857142858,7.142857142857142,3.571428571428571,3.571428571428571,3.571428571428571,3.571428571428571,0.0,28.0,40.0,69.39243375925678,93.80625729743784,132.44976973401714,193.51926861957935,321.8240677719759,46.42857142857143,25.0,14.285714285714285,14.285714285714285,3.571428571428571,0.0,0.0,0.0,0.0,28.0,39.0,62.0101510725421,86.74349181224943,125.4054656594951,212.3820871907045,421.0951985103858,32.142857142857146,28.57142857142857,21.428571428571427,17.857142857142858,10.714285714285714,10.714285714285714,7.142857142857142,3.571428571428571,3.571428571428571,28.0,39.0,43.64089299146719,60.07314210725196,137.32796353099747,347.753316254734,1642.9005975249477,44.44444444444444,37.03703703703704,29.629629629629626,25.925925925925924,25.925925925925924,22.22222222222222,22.22222222222222,22.22222222222222,14.814814814814813,27.0,31.0,UNSTABLE,full_snapshot
2026-09-04,2026-09-04T06:02:51.343659Z,65ee65428fbca868eee3d33e301676dc615da3dad74cf4373eecfb66aed22821,103.72000122070312,40,27.0,40.0,66.92553950777894,94.5063230305446,143.71625001592807,210.9556635674242,320.25129062200233,40.74074074074074,29.629629629629626,14.814814814814813,11.11111111111111,7.4074074074074066,3.7037037037037033,3.7037037037037033,3.7037037037037033,0.0,27.0,40.0,77.49986436503774,94.43805006725036,133.94475600553028,190.30065166491127,309.6020830358323,44.44444444444444,22.22222222222222,14.814814814814813,11.11111111111111,3.7037037037037033,0.0,0.0,0.0,0.0,27.0,39.0,53.86566880780693,80.81853413964502,139.6338999192953,236.78005753252307,578.1942411702449,40.74074074074074,29.629629629629626,25.925925925925924,18.51851851851852,14.814814814814813,14.814814814814813,11.11111111111111,3.7037037037037033,3.7037037037037033,27.0,39.0,46.19612267956707,65.60929833758117,111.2864450127587,282.88820730511225,922.7064746768764,40.0,32.0,28.000000000000004,24.0,20.0,16.0,16.0,16.0,8.0,25.0,30.0,UNSTABLE,full_snapshot
2026-09-05,2026-09-05T09:00:35.770339Z,cdbc0493ae766a59efb741d3f541b0a871809c4de533e0bc50dc8992b3bb528e,102.58999633789062,40,28.0,40.0,56.228169266496565,90.62973023181523,127.9983176482836,197.43965249178422,410.41680149298213,39.285714285714285,25.0,17.857142857142858,14.285714285714285,14.285714285714285,7.142857142857142,3.571428571428571,3.571428571428571,0.0,28.0,40.0,53.588906711088185,89.0159875304812,131.60616178782843,223.1293877035554,251.3572700389213,42.857142857142854,28.57142857142857,10.714285714285714,7.142857142857142,7.142857142857142,0.0,0.0,0.0,0.0,28.0,39.0,45.53100760216394,86.48321502344983,150.66235386910705,249.8649798975488,572.619451264206,50.0,35.714285714285715,25.0,17.857142857142858,17.857142857142858,14.285714285714285,10.714285714285714,7.142857142857142,7.142857142857142,28.0,39.0,45.72616684464886,66.82386723757291,134.7447329280824,279.007677727092,747.8039826335037,46.15384615384615,38.46153846153847,30.76923076923077,23.076923076923077,19.230769230769234,15.384615384615385,15.384615384615385,11.538461538461538,7.6923076923076925,26.0,32.0,CAUTION,full_snapshot
2026-09-06,2026-09-06T06:04:29.530957Z,0ab378fc219d40d18e18d6ce66fde0bf77597d37070813a257ed25f45b247d61,106.30000305175781,40,27.0,40.0,68.75859036580148,95.18713381739168,127.96516836460654,195.32797328480027,322.79360934629767,40.74074074074074,25.925925925925924,14.814814814814813,11.11111111111111,11.11111111111111,7.4074074074074066,7.4074074074074066,3.7037037037037033,0.0,27.0,40.0,60.70197955059247,90.3255423567887,135.4604434095734,231.45485488375957,263.87784013791446,40.74074074074074,29.629629629629626,14.814814814814813,7.4074074074074066,7.4074074074074066,0.0,0.0,0.0,0.0,27.0,39.0,51.89098340160638,88.05956754343528,144.94949061740368,250.7219168766093,600.4330153580554,48.148148148148145,33.33333333333333,25.925925925925924,18.51851851851852,18.51851851851852,14.814814814814813,11.11111111111111,7.4074074074074066,7.4074074074074066,27.0,39.0,50.84395750178075,75.60160264813594,155.2757511807097,289.9249609132995,799.6512870124084,52.0,44.0,32.0,24.0,20.0,16.0,16.0,12.0,8.0,25.0,32.0,CAUTION,full_snapshot
2026-09-07,2026-09-07T06:00:26.030174Z,bd514303827ec84325256107843cc68430ddc541de1187c84fd0eaeef8e18220,105.06999969482422,40,28.0,40.0,68.87169312399813,95.29379223530732,120.34263623823065,184.58442142417687,308.1742148715156,35.714285714285715,17.857142857142858,14.285714285714285,10.714285714285714,10.714285714285714,7.142857142857142,3.571428571428571,0.0,0.0,28.0,40.0,60.32162011711486,91.16785375308302,133.07778037175243,224.57293167895872,311.5846847158375,42.857142857142854,28.57142857142857,14.285714285714285,10.714285714285714,7.142857142857142,0.0,0.0,0.0,0.0,28.0,39.0,53.26925707448792,81.88670020993428,141.82979598681683,255.9051983500881,685.9855039587695,46.42857142857143,35.714285714285715,28.57142857142857,21.428571428571427,21.428571428571427,17.857142857142858,14.285714285714285,10.714285714285714,7.142857142857142,28.0,39.0,46.831547986304585,76.77428673731907,163.23081512215083,308.97944585173633,773.7536303892222,53.84615384615385,46.15384615384615,34.61538461538461,26.923076923076923,19.230769230769234,15.384615384615385,15.384615384615385,11.538461538461538,7.6923076923076925,26.0,33.0,UNSTABLE,full_snapshot
2026-09-08,2026-09-08T06:03:35.454231Z,8f1f0cbd9b10e9bfbfd59c1fecd2995c3ff7b3d838caad7ff8469c71a3fb0fad,102.86000061035156,40,28.0,40.0,82.523487754229,104.5437650851441,124.20406956202787,182.65459695533255,323.5974631416974,39.285714285714285,21.428571428571427,17.857142857142858,10.714285714285714,10.714285714285714,7.142857142857142,0.0,0.0,0.0,28.0,40.0,74.60304542509508,93.5122189656784,131.95253304461124,219.84935715864503,313.55473162014727,46.42857142857143,32.142857142857146,14.285714285714285,10.714285714285714,7.142857142857142,0.0,0.0,0.0,0.0,28.0,39.0,69.5704279615564,88.12137631704327,124.9805692308094,323.80576292216944,641.3775376129452,46.42857142857143,35.714285714285715,28.57142857142857,25.0,25.0,17.857142857142858,10.714285714285714,7.142857142857142,7.142857142857142,28.0,39.0,43.22103959009109,62.974376495776404,135.29929311767899,336.7977209254052,708.3123258916543,46.42857142857143,39.285714285714285,32.142857142857146,32.142857142857146,21.428571428571427,14.285714285714285,14.285714285714285,10.714285714285714,7.142857142857142,28.0,32.0,UNSTABLE,full_snapshot
2026-09-09,2026-09-09T06:02:44.771245Z,ed6a7445ef672655a97c213d957c820da7899e144cf08ba8987ce49e7f7d1b87,104.08000183105469,40,29.0,40.0,78.47039814523075,96.67473387987734,126.0629315337346,186.2956974323204,423.5464526717384,37.93103448275862,24.137931034482758,24.137931034482758,13.793103448275861,13.793103448275861,6.896551724137931,3.4482758620689653,0.0,0.0,29.0,40.0,74.93857495511656,93.57705360910195,134.46138957864642,219.69106726505908,290.53814369083364,48.275862068965516,31.03448275862069,13.793103448275861,10.344827586206897,6.896551724137931,0.0,0.0,0.0,0.0,29.0,39.0,56.63650799575935,83.26135636195471,159.85071571796652,299.0694168772682,629.1495730688878,51.724137931034484,41.37931034482759,27.586206896551722,24.137931034482758,20.689655172413794,17.24137931034483,10.344827586206897,10.344827586206897,6.896551724137931,29.0,39.0,46.31418920627104,73.36126132922625,127.8506358011697,325.29393371197636,741.1709927084786,44.44444444444444,40.74074074074074,33.33333333333333,29.629629629629626,22.22222222222222,14.814814814814813,14.814814814814813,11.11111111111111,7.4074074074074066,27.0,32.0,UNSTABLE,full_snapshot
2026-09-10,2026-09-10T06:00:45.400052Z,597d027a07be35de91b719f1d45cae59b6073c38c7aea8d149b77c32b01239bc,102.05000305175781,40,30.0,40.0,58.334721199683365,90.06231125337618,120.23353143569688,223.2527896451746,453.6225017188993,33.33333333333333,26.666666666666668,23.333333333333332,16.666666666666664,13.333333333333334,10.0,3.3333333333333335,0.0,0.0,30.0,40.0,56.97998145741668,91.61324052020798,140.00413621442155,213.72848368327138,269.8771654625944,46.666666666666664,30.0,13.333333333333334,10.0,3.3333333333333335,0.0,0.0,0.0,0.0,30.0,39.0,44.03218386461713,82.52732384228182,175.39793874730228,284.0249999291334,598.0245717445417,56.666666666666664,36.666666666666664,30.0,20.0,16.666666666666664,16.666666666666664,10.0,6.666666666666667,6.666666666666667,30.0,39.0,50.001091362270294,70.4059586409963,134.54415793121612,315.77733360345445,531.3422829945459,48.148148148148145,44.44444444444444,33.33333333333333,29.629629629629626,18.51851851851852,11.11111111111111,11.11111111111111,7.4074074074074066,3.7037037037037033,27.0,33.0,UNSTABLE,full_snapshot
2026-09-11,2026-09-11T06:00:42.567163Z,b334e6441d177487a8032a6661e8a54b857066b5160ee3801c0291a603009a1b,99.81999969482422,40,28.0,40.0,53.190735653986124,95.73315555588674,117.60618042443234,198.9811748189786,459.3221890194397,35.714285714285715,25.0,21.428571428571427,14.285714285714285,14.285714285714285,10.714285714285714,3.571428571428571,0.0,0.0,28.0,40.0,55.258927056717894,84.62996951146229,128.07734732297766,211.6248932249065,274.1905640223041,42.857142857142854,32.142857142857146,14.285714285714285,10.714285714285714,3.571428571428571,0.0,0.0,0.0,0.0,28.0,39.0,45.45901332530773,78.90825704911384,181.1828211896194,267.37457831518003,622.4217891201165,53.57142857142857,39.285714285714285,32.142857142857146,21.428571428571427,17.857142857142858,17.857142857142858,10.714285714285714,7.142857142857142,7.142857142857142,28.0,39.0,46.95889335907131,68.4402393046349,142.30325789309998,290.4240074988607,485.62697878366384,50.0,42.30769230769231,30.76923076923077,26.923076923076923,15.384615384615385,11.538461538461538,7.6923076923076925,3.8461538461538463,3.8461538461538463,26.0,35.0,UNSTABLE,full_snapshot
2026-09-12,2026-09-12T06:04:52.193033Z,8098a3e24fc595baf88955ecbc8c9686991401b50caf379c0448c5eac5f82cc5,101.61000061035156,40,28.0,40.0,88.21414673866265,107.98670705289295,126.26977051286681,200.9410930888093,388.18021512797355,39.285714285714285,25.0,21.428571428571427,17.857142857142858,10.714285714285714,7.142857142857142,0.0,0.0,0.0,28.0,40.0,68.66738033400345,99.67388266375828,139.4004893756255,215.41981161580085,279.1074279987556,46.42857142857143,35.714285714285715,14.285714285714285,10.714285714285714,3.571428571428571,0.0,0.0,0.0,0.0,28.0,39.0,62.562885446063135,84.21708817544967,184.43184359794208,312.8855878471628,617.9197687264812,53.57142857142857,39.285714285714285,35.714285714285715,25.0,21.428571428571427,17.857142857142858,10.714285714285714,7.142857142857142,7.142857142857142,28.0,39.0,45.21507216300795,70.10239379273388,198.9821752620615,318.15491040333086,622.2586814068275,51.85185185185185,48.148148148148145,37.03703703703704,29.629629629629626,18.51851851851852,14.814814814814813,11.11111111111111,11.11111111111111,7.4074074074074066,27.0,36.0,STABLE,full_snapshot
