timestamp_utc,Open,High,Low,Close,Volume
2018-08-16T00:00:00.000000Z,3.7000001611886546e-05,5.199999941396527e-05,3.7000001611886546e-05,4.6000001020729542e-05,23376
2018-08-17T00:00:00.000000Z,4.6000001020729542e-05,4.7000001359265298e-05,3.7999998312443495e-05,4.1999999666586518e-05,10411
2018-08-18T00:00:00.000000Z,4.1999999666586518e-05,4.5000000682193786e-05,3.7000001611886546e-05,3.9999998989515007e-05,24378
2018-08-19T00:00:00.000000Z,3.7999998312443495e-05,4.3000000005122274e-05,3.7000001611886546e-05,3.9999998989515007e-05,25846
2018-08-20T00:00:00.000000Z,3.9999998989515007e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.7999998312443495e-05,16333
2018-08-21T00:00:00.000000Z,3.7000001611886546e-05,3.8999998650979251e-05,3.600000127335079e-05,3.7999998312443495e-05,5262
2018-08-22T00:00:00.000000Z,3.7999998312443495e-05,3.9999998989515007e-05,3.600000127335079e-05,3.600000127335079e-05,17355
2018-08-23T00:00:00.000000Z,3.600000127335079e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,11794
2018-08-24T00:00:00.000000Z,3.7999998312443495e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,4320
2018-08-25T00:00:00.000000Z,3.7000001611886546e-05,3.8999998650979251e-05,3.600000127335079e-05,3.7000001611886546e-05,5111
2018-08-26T00:00:00.000000Z,3.7000001611886546e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,2228
2018-08-27T00:00:00.000000Z,3.7999998312443495e-05,3.8999998650979251e-05,3.7000001611886546e-05,3.8999998650979251e-05,2517
2018-08-28T00:00:00.000000Z,3.8999998650979251e-05,4.0999999328050762e-05,3.7999998312443495e-05,3.9999998989515007e-05,1698
2018-08-29T00:00:00.000000Z,3.9999998989515007e-05,4.400000034365803e-05,3.9999998989515007e-05,4.1999999666586518e-05,1947
2018-08-30T00:00:00.000000Z,4.1999999666586518e-05,5.4000000091036782e-05,4.0999999328050762e-05,4.5000000682193786e-05,12020
2018-08-31T00:00:00.000000Z,4.6000001020729542e-05,6.9000001531094313e-05,4.6000001020729542e-05,6.9000001531094313e-05,18397
2018-09-01T00:00:00.000000Z,6.9000001531094313e-05,7.599999662488699e-05,5.6000000768108293e-05,6.6000000515487045e-05,6088
2018-09-02T00:00:00.000000Z,6.3999999838415533e-05,6.7000000854022801e-05,5.8000001445179805e-05,6.0999998822808266e-05,980
2018-09-03T00:00:00.000000Z,6.0999998822808266e-05,6.2999999499879777e-05,5.7000001106644049e-05,5.7000001106644049e-05,942
2018-09-04T00:00:00.000000Z,5.7000001106644049e-05,6.6000000515487045e-05,5.7000001106644049e-05,5.9000001783715561e-05,785
2018-09-05T00:00:00.000000Z,5.8000001445179805e-05,6.6000000515487045e-05,5.7000001106644049e-05,5.7000001106644049e-05,3340
2018-09-06T00:00:00.000000Z,5.7000001106644049e-05,5.8000001445179805e-05,4.8999998398358002e-05,5.5000000429572538e-05,4248
